ID,Term,Definition,Extended Notes,Type,Examples,Domain,Sensitivity Level,Misinterpretations,Reality,Related Terms,Tags
49,Contextual Desire,"Contextual Desire refers to sexual or intimate desire that emerges primarily in response to specific emotional, relational, or situational conditions rather than being constant.","Contextual Desire describes how desire is activated by circumstances such as emotional connection, safety, timing, or environment. It is closely related to Desire Trigger and Emotional Intimacy, as desire often arises when certain relational conditions are met. Within a relationship assessment platform, contextual desire is identified through patterns showing desire variability across contexts rather than overall intensity. The concept helps explain compatibility dynamics by separating situational activation from baseline sexual desire.",Pattern & Dynamic,Desire increases during emotionally connected conversations; Intimacy feels more accessible during low-stress periods; A relationship report highlights desire emerging mainly in specific contexts,Desire & Arousal,Sensitive,Contextual desire means low libido; Contextual desire indicates lack of attraction; Contextual desire is inconsistent or unreliable,Contextual Desire doesn’t mean low libido. It’s about sexual or intimate desire.; It depends. It’s about sexual or intimate desire.; Contextual desire isn’t always inconsistent or unreliable. Think of it as sexual or intimate desire.,Desire Trigger; Desire Fluctuation; Emotional Intimacy; Sexual Desire,self-awareness; compatibility-dynamics; relationship-insights; relationship-dynamics; desire-arousal; pattern-dynamic
50,Controlled Research Environments,"Secure settings where researchers can analyze sensitive data under strict access controls, monitoring, and limits on exporting results.","Controlled environments can include secure enclaves, vetted user access, logging, output checking, and “no raw export” rules. They help balance scientific value and privacy protection—especially for international collaborations where cross-border data handling is complex.",Product Artifact,A secure enclave that only allows aggregated outputs; Research access via VPN with audit logs; Output review before releasing tables that could reveal rare combinations.,"Data, Privacy & Measurement",General,"Controlled environments are unnecessary if data is anonymized; If researchers are trustworthy, controls aren’t needed; Controls make research impossible; Any controlled environment is automatically compliant everywhere.",Controlled environments are unnecessary if data isn’t always anonymized.; It depends. Think of it as secure settings where researchers can analyze sensitive data under strict access controls.; It depends. It describes secure settings where researchers can analyze sensitive data under strict access controls.; Any controlled environment isn’t always automatically compliant everywhere.,Tiered Access Approach; Anonymized Research Access; Gates / Guardrails; Re-Identification Risk,privacy-controls; data-privacy-measurement; product-artifact
51,Core Insecurities,"Deep worries about adequacy, desirability, or safety that can shape intimacy patterns, communication, and sexual response.","Core insecurities often show up as avoidance, reassurance-seeking, jealousy, or performance pressure. They are influenced by attachment history, cultural standards, and past relational experiences. Bringing insecurities into the open—gently and without blame—can reduce arousal brakes and improve relational attunement.",Trait & Disposition,Someone avoids initiating sex out of fear of rejection; A partner needs frequent reassurance about attractiveness; Body image concerns reduce presence during intimacy.,Emotional & Attachment Patterns,Sensitive,"Insecurity means you are not ready for a relationship; Partners should never need reassurance; Insecurities are fixed and cannot heal; If you feel insecure, your partner is doing something wrong.",Core Insecurities doesn’t mean you are not ready for a relationship. It’s about deep worries about adequacy desirability or safety.; It can change. Timing matters.; That’s not always true. It describes deep worries about adequacy desirability or safety.; That’s not always true. It’s about deep worries about adequacy desirability or safety.,Attachment Style; Rejection Sensitivity; Validation Need; Body Image Impact; Arousal Brake; Relational Attunement,reassurance; attachment; jealousy; body-image; emotional-attachment-patterns; trait-disposition
52,Core Modalities,"The primary channels through which a person most easily experiences desire and pleasure, such as sensory touch, emotional connection, fantasy, novelty, or power dynamics.","Core modalities help translate “what turns me on” into categories that are easier to communicate and experiment with. Many people have multiple modalities, and their weighting can change with stress, safety, and relationship stage. Using modalities well means staying flexible and consent-centered rather than forcing a fixed label.",Framework & Model,A person is mainly sensory and needs good touch and pacing; Another person’s strongest modality is fantasy and mental imagery; A couple discovers that emotional connection plus novelty is their most reliable combination.,Desire & Arousal,General,"You only have one modality; Modalities are the same as love languages; If your partner has different modalities, you’re incompatible; Modalities determine what you must do to be “good in bed.”",Not necessarily. It describes the primary channels through.; That’s not always true. Think of it as the primary channels through.; Difference isn’t automatic incompatibility. Many gaps improve with communication.; That’s not always true. It describes the primary channels through.,Arousal Map; Desire; Fantasy; Kink Curiosity; Sexual Signature,compatibility; desire-and-arousal; sexual-communication; desire-arousal; framework-model
53,Core Motivation,"A dimension that summarizes the main reasons someone seeks intimacy (e.g., bonding, validation, novelty, stress relief, pleasure, meaning).","Core Motivation helps explain “what sex is for” in a person’s emotional system, which can differ across cultures, life stages, and relationship structures. Differences in motivation are common friction points: one partner may want reassurance while the other wants play or release. Best practice is to translate motivation into consent-friendly requests and shared rituals.",Framework & Model,One partner wants closeness and reassurance; Another wants novelty and excitement; A couple finds their shared motivation is relaxation and reconnection after stress.,Pleasure & Sexual Wellbeing,Sensitive,"There is only one healthy motivation; Motivation equals entitlement; If motivations differ, the relationship won’t work; Motivation is fixed forever.",There isn’t always only one healthy motivation. It describes a dimension.; It isn’t entitlement. Think of it as a dimension.; Not necessarily. It’s about a dimension.; Motivation isn’t always fixed forever. It describes a dimension.,Motivation for Sexuality; Importance of Sexuality; State-Based Reward; Event-Based Reward; Reflective Prompts,global-relationships; pleasure-sexual-wellbeing; framework-model
54,Cortisol,"A stress hormone that rises during chronic pressure and can reduce sexual desire, arousal, and pleasure by activating the body’s “survival mode.”","Cortisol is a useful report concept because it connects libido changes to life context (workload, sleep, conflict, uncertainty). Lowering chronic stress, improving recovery, and increasing safety cues often reduces inhibition and supports desire—without forcing outcomes.",Data & Research Method,Desire drops during burnout; Arousal is easier on vacation than during deadlines; Conflict increases stress and reduces sexual responsiveness.,Desire & Arousal,General,"Cortisol means your relationship is broken; Stress is an excuse; If you love someone, stress won’t matter; Cortisol explains all sexual problems.",This doesn’t mean you’re broken. Many factors can change how it shows up.; Stress isn’t always an excuse. Think of it as a stress hormone.; Not necessarily. It describes a stress hormone.; This is one factor. It doesn’t explain everything.,Stress And Desire; Energy Level; Arousal Brake; State Optimization,arousal-brakes; desire-arousal; data-research-method
55,Cultural Mismatch,"A gap between a person’s desires, relationship needs, or sexual expectations and the cultural norms, scripts, or messages they have learned to follow.","Cultural mismatch often shows up as guilt, confusion, or conflict when personal arousal patterns or intimacy needs don’t neatly fit local norms, family beliefs, or religious messaging. It can happen in any region or community and is especially common in cross-cultural relationships or after migration. Naming the mismatch helps people separate “what I was taught” from “what works for me and my partner(s).”",Pattern & Dynamic,"Someone wants open, direct sexual communication but grew up where sex was never discussed; A couple has different assumptions about monogamy because they were raised in different cultures; A person enjoys touch but feels shame because affectionate behavior was labeled inappropriate at home.",Relationship Dynamics & Intimacy,General,A cultural mismatch means something is wrong with you; Cultural mismatch is only an issue in “traditional” countries; The only solution is to reject your culture entirely; Cultural mismatch can’t be negotiated within a relationship.,This doesn’t mean you’re broken. Many factors can change how it shows up.; Not necessarily. Think of it as a gap between a person’s desires relationship needs or sexual expectations.; It depends. It describes a gap between a person’s desires relationship needs or sexual expectations.; That’s not always true. It’s about a gap between a person’s desires relationship needs or sexual expectations.,Sexual Script; Relationship Form Preference; Boundaries; Desire Discrepancy; Consent,sexual-wellbeing; sexual-scripts; cross-cultural-relationships; relationship-norms; relationship-dynamics-intimacy; pattern-dynamic
56,Curiosity & Exploration Orientation,"A person’s tendency to explore new ideas, experiences, or dynamics in sexuality and relationships, including openness to learning and experimentation.","High exploration orientation often pairs with play, novelty, and growth mindset, while lower exploration orientation may prioritize predictability, safety, and routine comfort. Neither is superior; compatibility comes from negotiated pace, consent, and boundaries. This trait can be shaped by culture, taboo levels, and prior experiences with safety or judgment.",Trait & Disposition,A couple enjoys learning new ways to communicate about pleasure; Someone is open to gentle experimentation but wants clear stop signals; A person prefers familiar routines and explores slowly over time.,"Fantasy, Kink & Exploration",Sensitive,High curiosity means someone will cross boundaries; Low curiosity means someone is boring; Exploration orientation determines sexual skill; Curiosity should override consent if both are “in love.”,"Boundaries still apply. This doesn’t remove limits.; It doesn’t mean someone is boring. It describes a person’s tendency to explore new ideas experiences or dynamics in sexuality.; That’s not always true. Think of it as a person’s tendency to explore new ideas experiences or dynamics in sexuality.; Consent is required. Without it, stop.",Taboo Curiosity; Role Play; Roleplay Boundaries; Consent; Boundaries; Routine Comfort,consent-first; novelty; kink-curiosity; sexual-exploration; fantasy-kink-exploration; trait-disposition
57,Curiosity Gap,"Curiosity Gap refers to a difference between partners in levels of interest, openness, or motivation to explore emotional, relational, or intimate topics.","Curiosity Gap describes variation in exploratory interest rather than lack of care or connection. It is closely related to Interest Mismatch and Erotic Curiosity, as differences often appear around which topics feel engaging or worthwhile to explore. Within a relationship assessment platform, a curiosity gap is inferred from recurring patterns of engagement, questioning, or avoidance across conversations. The concept helps explain compatibility dynamics by separating curiosity levels from emotional investment or commitment.",Pattern & Dynamic,One partner enjoys exploring emotional topics while the other prefers familiar ground; A relationship report highlights uneven engagement in intimacy-related discussions; Conversations stall when exploration interests are not shared,Emotional & Attachment Patterns,General,Curiosity gap means lack of interest in the relationship; Curiosity gap reflects incompatibility or misalignment in values; Curiosity gap indicates emotional avoidance,Curiosity Gap doesn’t mean lack of interest in the relationship.; That’s not always true. It’s about a difference between partners in levels of interest openness or motivation.; That’s not always true. It’s about a difference between partners in levels of interest openness or motivation.,Interest Mismatch; Erotic Curiosity; Mismatch Tolerance; Communication Patterns,self-awareness; compatibility-dynamics; relationship-insights; communication-patterns; emotional-attachment-patterns; pattern-dynamic
58,Curiosity Level,"A dimension describing openness to learning, novelty, and exploration in sexuality and relationships, including comfort with trying new ideas at a chosen pace.","Curiosity level isn’t a moral score. High curiosity can drive growth and play; lower curiosity can reflect preference for predictability, cultural values, or safety needs. Best matches come from negotiated pacing, consent clarity, and respect—not persuasion.",Metric & Measurement,"Enjoys experimenting with new touch styles; Prefers familiar routines with small tweaks; Likes learning through reading, courses, or guided prompts.","Fantasy, Kink & Exploration",Sensitive,High curiosity means boundary-crossing; Low curiosity means boring; Curiosity should override consent; Curiosity predicts compatibility perfectly.,Boundaries still apply. This doesn’t remove limits.; It doesn’t mean boring. Think of it as a dimension describing openness to learning novelty and exploration in sexuality.; Consent comes first. Nothing overrides it.; Not necessarily. It’s about a dimension describing openness to learning novelty and exploration in sexuality.,High Curiosity Orientation; Learning- and Mastery-Driven Curiosity; Progressive Precision; Consent Frameworks,consent-first; global-relationships; novelty; learning; fantasy-kink-exploration; metric-measurement
59,Deep Survey,"A comprehensive set of questions designed to explore sexual preferences, patterns, and relational tendencies.","The Deep Survey prioritizes nuance and reflection over speed, allowing for more complex and emotionally rich responses. It is typically used when depth of understanding is more important than quick engagement.",Product Artifact,"Answering questions about desire, boundaries, communication, and intimacy across different contexts; reflecting on patterns rather than isolated experiences.",Product & Assessment,General,There are right or wrong answers; answers should reflect ideal behavior rather than reality; results define fixed traits.,Not necessarily. It describes a comprehensive set of questions designed to explore sexual preferences patterns.; That’s not always true. It’s about a comprehensive set of questions designed to explore sexual preferences patterns.; That’s not always true. It describes a comprehensive set of questions designed to explore sexual preferences patterns.,Sexual Intelligence; Growth Report — Your Intimacy Journey; Soft Survey; Micro Quiz; Reflective Prompts,patterns; product-assessment; product-artifact
60,Demisexuality,A sexual orientation in which sexual attraction typically develops only after a strong emotional connection.,Demisexuality refers to experiencing sexual attraction primarily after forming a strong emotional bond. It highlights how attraction can depend on connection rather than immediate physical or situational cues.,Identity & Orientation,Not feeling sexual attraction to strangers; attraction emerging only after trust and emotional intimacy are established.,Identity & Attraction,Sensitive,Demisexual people are simply cautious or reserved; demisexuality is a preference rather than an orientation; emotional connection always leads to sexual attraction.,It depends. Think of it as a sexual orientation.; demisexuality isn’t always a preference rather than an orientation. Think of it as a sexual orientation.; It can vary. Context matters.,Asexuality; Desire; Responsive Desire; Orientation,attraction; orientation; spectrum; identity-attraction; identity-orientation
61,Desire,The mental and emotional interest in sexual or intimate activity.,"Desire is influenced by a wide range of emotional, relational, and contextual factors, not just biology. It can fluctuate over time and does not follow a single predictable pattern across people or situations.",State & Experience,Wanting closeness after emotional connection; feeling interested in sex only in certain contexts; noticing desire fluctuate over time.,Desire & Arousal,Sensitive,Desire should always be spontaneous; low desire means low attraction; desire is the same as arousal.,It isn’t fixed. Context matters.; It doesn’t mean low attraction. It describes the mental and emotional interest in sexual or intimate activity.; It isn’t arousal. It’s about the mental and emotional interest in sexual or intimate activity.,Arousal; Libido; Responsive Desire; Spontaneous Desire,sexuality; motivation; desire-arousal; state-experience
62,Desire Cues,"Desire Cues refer to the verbal, nonverbal, or contextual signals through which sexual or intimate interest is expressed or perceived within a relationship.","Desire Cues describe how interest is communicated rather than how much desire exists. They are closely linked to Desire Initiation and Communication Patterns in Relationships, as cues often rely on timing, tone, and subtle behavior. Within a relationship assessment platform, desire cues are inferred from repeated interaction patterns rather than isolated actions. The concept helps explain compatibility dynamics by highlighting differences between how desire is signaled and how it is interpreted.",Signal & Cue,Sustained eye contact or affectionate humor signals interest; A partner relies on indirect cues rather than explicit initiation; A relationship report highlights mismatched interpretation of desire signals,Sexual Communication & Initiation,Sensitive,Desire cues always indicate readiness for sex; Desire cues are obvious and universal; Absence of desire cues means lack of attraction,It can change. Timing matters.; There’s no one-size-fits-all. People and situations differ.; It doesn’t mean lack of attraction. Think of it as the verbal nonverbal or contextual signals through.,Desire Initiation; Desire Trigger; Communication Patterns; Sexual Desire,self-awareness; compatibility-dynamics; relationship-insights; relationship-dynamics; sexual-communication-initiation; signal-cue
63,Desire Discrepancy,A difference in levels or patterns of sexual desire between partners or within oneself over time.,"Desire discrepancy describes differences in sexual interest or frequency between partners, which are common in long-term relationships. These differences are not inherently problematic but often require communication and mutual understanding.",Pattern & Dynamic,Partners wanting sex at different frequencies; desire shifting due to stress or life changes; fluctuating desire within the same relationship.,Relationship Dynamics & Intimacy,Sensitive,Desire discrepancy means the relationship is broken; one partner is always at fault; desire levels should naturally match.,This doesn’t mean you’re broken. Many factors can change how it shows up.; It can vary. Context matters.; It depends. It describes a difference in levels or patterns of sexual desire between partners.,Desire; Libido; Intimacy; Communication,desire; relationships; relationship-dynamics-intimacy; pattern-dynamic
64,Desire Fluctuation,Desire Fluctuation refers to natural changes in levels of sexual or intimate desire over time or across different emotional and situational contexts.,"Desire Fluctuation describes variability in desire rather than a fixed baseline or permanent shift. It is influenced by Emotional Intimacy and Communication Patterns in Relationships, as emotional connection and stress shape how desire is experienced. Within a relationship assessment platform, desire fluctuation is identified through patterns across time rather than isolated moments. The concept helps explain compatibility dynamics by separating temporary change from overall desire levels.",Pattern & Dynamic,Desire increases during periods of emotional closeness and decreases during stress; A relationship report highlights differing interpretations of fluctuating desire; Desire varies depending on context rather than remaining constant,Desire & Arousal,Sensitive,Desire fluctuation indicates loss of attraction; Desire fluctuation reflects relationship failure; Desire fluctuation should not occur in healthy relationships,That’s not always true. Think of it as natural changes in levels of sexual or intimate desire over time.; This doesn’t mean you’re broken. Many factors can change how it shows up.; Not necessarily. It’s about natural changes in levels of sexual or intimate desire over time.,Sexual Desire; Emotional Intimacy; Desire Initiation; Communication Patterns,self-awareness; compatibility-dynamics; relationship-insights; relationship-dynamics; desire-arousal; pattern-dynamic
65,Desire Inhibition,"Desire Inhibition refers to internal or relational factors that reduce, suppress, or block the experience or expression of sexual or intimate desire.","Desire Inhibition describes constraints on desire rather than absence of desire itself. It is closely linked to Emotional Safety and Desire Fluctuation, as stress, pressure, or emotional disconnection can dampen desire in specific contexts. Within a relationship assessment platform, desire inhibition is inferred from patterns where desire decreases despite underlying attraction or interest. The concept helps explain compatibility dynamics by separating inhibition from lack of desire or relational dissatisfaction.",Signal & Cue,Desire decreases during periods of unresolved conflict; Intimacy feels mentally blocked despite emotional connection; A relationship report highlights contextual factors associated with reduced desire,Desire & Arousal,Sensitive,Desire inhibition means no sexual attraction; Desire inhibition reflects personal failure; Desire inhibition is permanent,Desire Inhibition doesn’t mean no sexual attraction. It describes internal or relational factors.; This doesn’t mean you’re broken. Many factors can change how it shows up.; Desire inhibition isn’t always permanent. It describes internal or relational factors.,Sexual Desire; Desire Fluctuation; Emotional Safety; Desire Initiation,self-awareness; compatibility-dynamics; relationship-insights; relationship-dynamics; desire-arousal; signal-cue
66,Desire Initiation,"Desire Initiation refers to how sexual or intimate desire is first expressed, signaled, or activated between people in a relationship.","Desire Initiation focuses on the expression of interest rather than the intensity of desire itself. It is shaped by Emotional Intimacy and Initiation Pattern, as comfort with vulnerability and responsiveness influences how desire is communicated. Within a relationship assessment platform, desire initiation is inferred from timing, signals, and emotional context rather than explicit actions alone. The concept helps clarify compatibility dynamics by separating felt desire from how it is shown or received.",Signal & Cue,Desire is signaled through subtle touch or sustained attention; A relationship report highlights differing expectations around who initiates desire; Desire initiation occurs more often during emotionally connected moments,Sexual Communication & Initiation,Sensitive,Desire initiation reflects overall libido level; Desire initiation determines relationship satisfaction; Desire initiation should be evenly shared at all times,Not necessarily. Think of it as how sexual or intimate desire is first expressed signaled or activated between.; That’s not always true. It’s about how sexual or intimate desire is first expressed signaled or activated between.; Not necessarily. Think of it as how sexual or intimate desire is first expressed signaled or activated between.,Initiation Pattern; Sexual Desire; Emotional Intimacy; Communication Patterns,self-awareness; compatibility-dynamics; relationship-insights; emotional-intimacy; sexual-communication-initiation; signal-cue
67,Desire Mismatch,"Desire Mismatch refers to a difference between partners in levels, timing, or expression of sexual or intimate desire within a relationship.","Desire Mismatch describes a relational difference rather than a problem or deficiency in either person. It is closely related to Desire Fluctuation and Sexual Needs, as desire naturally varies across people and contexts. Within a relationship assessment platform, desire mismatch is identified through recurring patterns of misalignment rather than isolated moments. The concept helps explain compatibility dynamics by separating difference in desire from attraction, care, or relationship quality.",Pattern & Dynamic,One partner desires intimacy more frequently than the other; Desire peaks at different times for each partner; A relationship report highlights ongoing differences in desire expression,Relationship Dynamics & Intimacy,Sensitive,Desire mismatch means lack of attraction; Desire mismatch indicates relationship failure; Desire mismatch should not exist in healthy relationships,Desire Mismatch doesn’t mean lack of attraction. It describes a difference between partners in levels timing or expression of sexual.; This doesn’t mean you’re broken. Many factors can change how it shows up.; Not necessarily. It describes a difference between partners in levels timing or expression of sexual.,Desire Fluctuation; Sexual Needs; Mismatch Tolerance; Sexual Desire,self-awareness; compatibility-dynamics; relationship-insights; relationship-dynamics; relationship-dynamics-intimacy; pattern-dynamic
68,Desire Shutdown,"A strong reduction or “switch-off” in desire and arousal, often triggered by stress, pressure, conflict, fear, shame, or lack of safety.","Shutdown is often a protective nervous-system response, not a moral choice. It can be temporary (a stressful season) or persistent (chronic conflict, unresolved pain, coercive dynamics). Reports should emphasize non-harm principles, consent, and repair; if coercion, trauma symptoms, or pain are present, qualified support is more important than optimization tips.",Pattern & Dynamic,"Desire disappears when conflict is unresolved; Pressure to perform leads to numbness; After betrayal, arousal is hard to access; Chronic stress keeps the body in “survival mode.”",Consent & Boundaries,Highly Sensitive,"Shutdown means you’re not sexual; Shutdown proves the relationship is over; The solution is to push harder; If you’re in a relationship, you should comply anyway.",Desire Shutdown doesn’t mean you’re not sexual.; Shutdown proves the relationship isn’t always over. It describes a strong reduction or switch-off in desire and arousal often triggered.; The solution isn’t always to push harder. It describes a strong reduction or switch-off in desire and arousal often triggered.; Not necessarily. Think of it as a strong reduction or switch-off in desire and arousal often triggered.,Arousal Brake; Cortisol; Emotional Safety; Repairing / Reconnecting; Non-Harm Principles,consent-first; relationship-repair; stress-response; consent-boundaries; pattern-dynamic
69,Desire Trigger,"Desire Trigger refers to a specific emotional, relational, or situational cue that activates or increases sexual or intimate desire.","Desire Trigger describes what tends to initiate desire rather than how strong desire is overall. It is closely related to Desire Initiation and Emotional Intimacy, as desire often emerges in response to feeling connected, relaxed, or emotionally seen. Within a relationship assessment platform, desire triggers are identified by recurring contexts or interactions associated with increased desire. The concept helps clarify compatibility dynamics by distinguishing activation conditions from baseline desire levels.",Signal & Cue,Desire increases after emotionally meaningful conversations; Feeling appreciated acts as a consistent trigger for intimacy; A relationship report highlights differing desire triggers between partners,Sexual Communication & Initiation,Sensitive,Desire triggers are purely physical; Desire triggers determine overall sexual compatibility; Desire triggers are identical for everyone,Not necessarily. It describes a specific emotional relational or situational cue.; It depends. Think of it as a specific emotional relational or situational cue.; That’s not always true. Think of it as a specific emotional relational or situational cue.,Desire Initiation; Emotional Intimacy; Sexual Desire; Desire Fluctuation,self-awareness; compatibility-dynamics; relationship-insights; relationship-dynamics; sexual-communication-initiation; signal-cue
70,Direct & Assertive,"A communication style marked by clear, explicit language about desires, boundaries, and preferences, often preferring “say it plainly” consent and initiation.","This style can reduce ambiguity and help prevent signal mismatch, especially across cultures. The growth edge is warmth: directness works best with empathy and non-pressure language.",Trait & Disposition,"“Do you want to have sex tonight?”; “Slower, please.”; “I’m a no today, but I want cuddling.”",Sexual Communication & Initiation,General,Direct means aggressive; Direct people don’t need emotional context; Directness ruins romance; Directness equals entitlement.,Direct can still be kind. Aggression is different from clarity.; It depends. It describes a communication style marked by clear explicit language about desires boundaries.; It depends. It’s about a communication style marked by clear explicit language about desires boundaries.; It isn’t entitlement. It’s about a communication style marked by clear explicit language about desires boundaries.,Communication Style; Consent Frameworks; Signal Mismatch,relationship-skills; explicit-consent; sexual-communication-initiation; trait-disposition
71,Direct Identifiers,"Data fields that can identify a person on their own, such as full name, exact email address, phone number, or government-issued ID.","Direct identifiers are high-risk for privacy and typically require strict handling: minimization, encryption, access controls, and separation from analytic datasets. Many compliance frameworks (including EU/GDPR-aligned practices) treat direct identifiers as highly sensitive because misuse can cause immediate harm.",Data & Research Method,Email address stored separately from survey answers; Phone number collected only for account recovery; Removing names before sharing data with analysts.,"Data, Privacy & Measurement",Sensitive,"Removing direct identifiers makes data anonymous; Hashing equals anonymization; If users consent once, direct identifiers can be used for anything; Direct identifiers are safe if stored internally.","That’s not always true. It describes data fields.; It isn’t anonymization. It describes data fields.; Consent is required. Without it, stop.; Not necessarily. Think of it as data fields.",Quasi-Identifiers; Re-Identification Risk; Tiered Access Approach; Ethical Constraints,privacy-controls; data-privacy-measurement; data-research-method
72,Disorganized Attachment,"A pattern where closeness and safety signals feel inconsistent, leading to mixed approach–avoid behaviors under stress.","This pattern can be linked to confusing relational learning histories and may show up as sudden shifts in desire, trust, or communication. Reports should be especially careful: non-shaming language, strong consent framing, and encouragement to seek qualified support if distress is high.",Trait & Disposition,Inconsistent responses to intimacy; Alternating pursuit and withdrawal; Feeling both drawn to and overwhelmed by closeness.,Emotional & Attachment Patterns,Highly Sensitive,Disorganized means someone is dangerous; This pattern can’t change; It’s only caused by trauma; The label replaces professional support when needed.,Disorganized Attachment doesn’t mean someone is dangerous.; It depends. It describes a pattern where closeness and safety signals feel inconsistent leading to mixed.; Not necessarily. It’s about a pattern where closeness and safety signals feel inconsistent leading to mixed.; It depends. It’s about a pattern where closeness and safety signals feel inconsistent leading to mixed.,Relational Loops; Emotional Safety; Somatic Integration; Non-Harm Principles,mixed-signals; relationship-stress; emotional-attachment-patterns; trait-disposition
73,Don’t-Ask-Don’t-Tell (DADT),An open-relationship style where outside connections are permitted but details are intentionally not shared between primary partners.,"DADT can reduce triggers for some people, but it can also create ambiguity if “privacy” becomes “secrecy.” It works best with clear rules: what must be disclosed (health/safety), what stays private, and how consent is maintained. In geo-diverse contexts, DADT sometimes overlaps with discretion needs; the key is that both partners freely agree.",Identity & Orientation,Partners allow outside sex but don’t share details; Disclosure only for safer-sex updates; A couple avoids specifics to protect emotional stability.,Relationship Dynamics & Intimacy,Sensitive,DADT is automatically dishonest; DADT means anything goes; DADT eliminates jealousy; DADT is the same as cheating.,DADT isn’t always automatically dishonest.; It doesn’t mean anything goes.; Jealousy isn’t proof of love. It often signals fear or insecurity.; Cheating breaks agreements. This is about an agreed structure.,Open Relationship; Boundaries; Consent Frameworks; Safer-Sex Agreements; Trust and Safety Insecurity,dadt; relationship-dynamics-intimacy; identity-orientation
74,Dopamine,"A neurotransmitter strongly linked to motivation, anticipation, novelty, and “wanting,” which can influence sexual desire and pursuit.","Dopamine often drives pursuit energy (flirting, chasing novelty, anticipation) more than long-term contentment. In reports, it’s best framed as one ingredient: context, safety, and values still shape choices. Overstimulating novelty (including digital novelty) can make slower rewards feel less compelling for some people.",Data & Research Method,Feeling excited by anticipation before a date; Desire rises with novelty or playful uncertainty; Motivation drops when life feels monotonous or depleted.,Desire & Arousal,General,Dopamine equals love; High dopamine means better relationships; Dopamine explains everything about libido; You can “hack” dopamine to control partners.,Dopamine isn’t love. Think of it as a neurotransmitter strongly linked to motivation anticipation novelty and wanting.; It doesn’t mean better relationships. Think of it as a neurotransmitter strongly linked to motivation anticipation novelty and wanting.; This is one factor. It doesn’t explain everything.; It isn’t a control tactic. Think of it as a neurotransmitter strongly linked to motivation anticipation novelty and wanting.,Biochemical Reward System Dynamics; Novelty; Event-Based Reward; Reward System Recalibration,novelty-seeking; dopamine; motivation; anticipation; desire-arousal; data-research-method
75,Dual Control Model of Sexual Response,"A research-backed model that explains sexual arousal as the balance between excitation (accelerators) and inhibition (brakes), shaped by context, meaning, and safety.","The Dual Control Model is often used to normalize why desire varies: the same person can feel highly sexual in one context and shut down in another. It supports practical troubleshooting by identifying accelerators to add and brakes to reduce, rather than blaming libido or compatibility. The model is used internationally in sex research and therapy, though it should be applied with cultural humility and individual nuance.",Framework & Model,A couple improves sex by reducing stress triggers (brakes) and adding playful initiation (accelerators); Someone notices arousal is easier on vacation than during work deadlines; A person realizes privacy concerns are a stronger brake than attraction is an accelerator.,Desire & Arousal,General,"The model means arousal is purely mechanical; If you add enough accelerators, consent is automatic; Brakes are always trauma-related; The model replaces communication about needs and boundaries.","Dual Control Model of Sexual Response doesn’t mean arousal is purely mechanical. Think of it as a research-backed model.; Consent is required. Without it, stop.; It can vary. Context matters.; Boundaries still apply. This doesn’t remove limits.",Sexual Excitation System (SES); Sexual Inhibition System (SIS); Arousal Accelerator; Arousal Brake; Desire Discrepancy,arousal-brakes; sexual-response; dual-control-model; arousal-accelerators; desire-arousal; framework-model
76,Educational Poverty (Sexual Education Deficit),"A widespread lack of accessible, accurate sexual education that leaves people without practical knowledge about bodies, consent, pleasure, and healthy relationships.","This deficit can vary by country, school system, and community norms, but often results in shame, misinformation, and reliance on peers or online content for learning. Addressing it typically involves culturally respectful education that includes consent, anatomy, communication skills, and wellbeing—not only risk prevention.",Pattern & Dynamic,Adults unsure about anatomy or arousal; Partners lacking shared language for boundaries; People learning “how sex works” mainly from porn or rumors.,Pleasure & Sexual Wellbeing,General,"Sexual education is only about pregnancy and STIs; If you had biology class, you’re fully educated; Education causes risky behavior; The deficit is an individual’s fault.",Sexual education isn’t always only about pregnancy and STIs. It describes a widespread lack of accessible accurate sexual education.; Not necessarily. It’s about a widespread lack of accessible accurate sexual education.; That’s not always true. It’s about a widespread lack of accessible accurate sexual education.; The deficit isn’t always an individual’s fault. Think of it as a widespread lack of accessible accurate sexual education.,Systemic Gap in Sexual Education; Sexual Tabooization; Consent Frameworks; Guided Self-Understanding,consent-skills; stigma-reduction; pleasure-sexual-wellbeing; pattern-dynamic
77,Embodied Confidence,"A pattern where sexual confidence comes from body awareness, comfort with sensation, and ability to pace and communicate in the moment.","Embodied confidence is supported by presence, somatic integration, and consent skills. It often looks like calm self-trust: adjusting touch, slowing down, and naming needs without shame. This can be culturally adaptable because it’s about internal cues, not explicit sexual language.",Trait & Disposition,Comfortably asks for slower touch; Notices tension and pauses; Feels present rather than performing.,Pleasure & Sexual Wellbeing,Sensitive,"Embodied confidence means always wanting sex; Body awareness replaces verbal consent; If you’re embodied, you’ll never feel anxious; Embodied confidence is only for certain “types” of people.",It isn’t fixed. Context matters.; Consent comes first. Nothing overrides it.; It isn’t fixed. Context matters.; It isn’t only for one context. It can help in many situations.,Somatic Integration; Presence vs Performance; Consent Frameworks; Sexual Confidence,pleasure-skills; consent-aware; self-trust; pleasure-sexual-wellbeing; trait-disposition
