ID,Term,Type,Definition,Extended Notes,Examples,Domain,Sensitivity Level,Misinterpretations,Related Terms,Tags
39,Energy Level,Metric & Measurement,"A report dimension describing how much physical and emotional bandwidth someone typically has for intimacy, affecting timing, pacing, and frequency preferences.","Energy level is often misread as attraction. Reporting should connect energy to sleep, stress, health, and workload, and suggest practical adjustments (timing, shorter sessions, transition rituals). This is highly geo-relevant because living arrangements and privacy differ across regions.",Desire higher on weekends; Fatigue reduces arousal after late work; Prefers earlier evenings and calm transitions.,Pleasure & Sexual Wellbeing,General,Low energy means rejection; High energy means constant libido; Energy problems are solved by pushing through; Energy is purely personality and not health-related.,State Optimization; Stress And Desire; Sexual Frequency Expectations,energy-level; fatigue; timing; libido-context; wellbeing
40,Engulfment Insecurity,Trait & Disposition,"A fear of losing autonomy, identity, or space in a relationship, often leading to withdrawal when closeness feels too intense.","Engulfment insecurity can show up as needing decompression time, avoiding heavy talks during initiation, or feeling pressured by expectations. Healthy support includes respecting space, using low-pressure invitations, and building trust that autonomy and connection can coexist.",Needing time alone after conflict; Feeling turned off when sex feels demanded; Pulling back when a partner escalates intensity quickly.,Emotional & Attachment Patterns,Highly Sensitive,"Engulfment insecurity means low love; Wanting space is selfish; The solution is to push for closeness; If someone withdraws, consent is irrelevant.",Core Insecurities; Avoidant Attachment; Quiet Withdrawer; Boundaries,engulfment-fear; autonomy-needs; avoidant-pattern; pressure-response; space-and-connection
41,Erotic Meaning System,Framework & Model,"The personal “meaning map” that makes certain themes erotic (e.g., devotion, power, novelty, being seen, being safe), shaping desire and satisfaction.","Meaning systems are culturally and personally shaped: what feels erotic in one community may feel neutral or taboo in another. Reports should treat this as identity-adjacent but flexible—people can expand meaning over time. The practical use is translating meaning into consent-friendly requests and compatible rituals, not insisting on one script.","Finding devotion erotic (rituals, commitment); Feeling turned on by being admired; Power dynamics feel meaningful and arousing; Safety and tenderness are the core erotic driver.",Identity & Attraction,Sensitive,"Your meaning system is fixed forever; Meaning equals morality; If meanings differ, you’re incompatible; Meaning replaces consent and boundaries.",Being Seen; Being Safe; Being Chosen; Power Orientation; Spiritual Sexuality,erotic-meaning; desire-meaning; erotic-map; turn-on-themes; relationship-compatibility; cross-cultural
42,Evolving / Transcending,State & Experience,"A stage where intimacy expands into deeper meaning—through growth, spirituality, creativity, devotion, or a mature sense of erotic identity.","This stage can include spiritual sexuality, expanded intimacy scripts, and deeper emotional attunement. It should be described without superiority claims: not everyone wants transcendence, and cultural/religious expressions differ widely. Consent, humility, and non-harm principles remain central.",Partners create a meaningful ritual for intimacy; Sexuality becomes more about presence and bonding than outcomes; A person integrates desire with values and long-term purpose.,Pleasure & Sexual Wellbeing,Sensitive,"Transcending is better than “normal sex”; Spiritual framing replaces consent; This stage requires a specific religion; If you’re not transcending, you’re immature.",Spiritual Sexuality; Practical Wisdom Traditions; Optimal Sexual States; State-Based Reward; Sexual Self-Actualization,evolving; transcending; meaning-based-intimacy; spiritual-sexuality; mature-love
43,Exhibitionism,Identity & Orientation,"An erotic interest in being seen, watched, or desired—ethical when it’s consensual and privacy-safe (often expressed privately rather than publicly).","Consensual exhibitionism can include compliments, mirrors, outfits, role play, or agreed sharing between partners. Reports should emphasize consent and digital privacy: no sharing images without explicit permission, and consider local cultural/legal risks. Many people prefer “private exhibitionism” within a relationship.",Enjoying being watched by a consenting partner; Using mirrors or lighting to feel seen; Sharing consensual photos within agreed privacy rules.,"Fantasy, Kink & Exploration",Highly Sensitive,Exhibitionism means violating others’ boundaries; Wanting to be seen equals cheating; Being admired cancels consent; Exhibitionism must be public to be real.,Voyeurism; Sexting; Exhibitionist Performer; Consent Frameworks,exhibitionism; being-seen; praise; erotic-display; private-play; digital-safety
44,Expanding / Experimenting,State & Experience,"A stage where someone actively broadens their intimacy range—trying new activities, dynamics, or communication skills with consent and aftercare.","Experimenting works best when it’s paced, optional, and clearly negotiated. For geo-ready guidance, offer multiple “intensity levels” and emphasize privacy, consent, and cultural fit. This stage can include non-sexual experiments too (rituals, communication, play).",Trying a new touch style and debriefing what worked; Testing a playful role dynamic with a safe word; Adding novelty through dates and anticipation rather than explicit acts.,"Fantasy, Kink & Exploration",Sensitive,"Experimenting means doing extreme things; If one experiment fails, you should stop trying; Experimenting is unsafe in committed relationships; Consent is implied once you “agree to experiment.”",Roleplay Boundaries; Aftercare; Consent; Targeted Boosts; Presence vs Performance,expanding; experimenting; intimacy-experiments; sexual-growth; negotiated-play
45,Expressive & Performative,Trait & Disposition,"A communication style that uses emotion, storytelling, flirtation, and energetic expression to convey desire, interest, or boundaries.","This style can feel romantic and motivating, and it often thrives on praise, tone, and atmosphere. The risk is ambiguity: performance can be misread as consent or pressure unless paired with explicit check-ins. Privacy and cultural norms may shape how openly expression is shown.",Flirtatious teasing to initiate; Compliments and playful banter; Using tone and vibe rather than literal wording unless needed.,Sexual Communication & Initiation,Sensitive,"Expressive equals manipulative; If it’s playful, consent is automatic; Expressive people are always high libido; Expressive styles don’t need boundaries.",Communication Style; Playful Seducer; Signal Mismatch; Consent Frameworks,expressive-communication; flirtation; emotional-expression; initiation-style; erotic-play
46,Fantasy Pull,Metric & Measurement,A report signal describing how strongly fantasies and imagination trigger arousal and desire for a person.,"Fantasy pull can be high or low and may change with stress, privacy, novelty, and life stage. High fantasy pull does not mean someone wants to act everything out; it often means mental imagery is a key accelerator. Reports should normalize private fantasy and reinforce the fantasy–practice distinction.",Fantasies reliably spark desire even when tired; Imagination boosts arousal before touch; Fantasy use increases during low-privacy periods when action is harder.,Desire & Arousal,Sensitive,Fantasy pull means you’re dissatisfied with your partner; Fantasies reveal real intentions; High fantasy pull requires acting out fantasies; Fantasy pull replaces consent in real life.,Mind-Led Arousal; Fantasy–Reality Congruence; Ethical Containment; Typical Sexual Fantasies,fantasy-pull; imagination; desire-accelerator; erotic-fantasy; global-privacy
47,Fantasy–Reality Congruence,Metric & Measurement,The degree to which a person’s fantasies align with what they actually want (and is ethical) to do in real life.,"Low congruence is normal: many fantasies are symbolic, taboo, or narrative-driven without being desired in practice. High congrruence can support exploration when consent, safety, and boundaries are clear. Reports should avoid shame and clearly separate arousal (fantasy) from intention (practice).",Enjoying a fantasy theme but not wanting to enact it; Wanting to try a mild version of a fantasy with clear limits; Keeping certain fantasies private and imagination-only.,"Fantasy, Kink & Exploration",Highly Sensitive,"Congruence must be high to be healthy; Fantasies always reveal true desires; If congruence is high, consent is assumed; Low congruence means you’re lying.",Fantasy Pull; Ethical Containment; Fantasy vs Practice Distinction; Consent Frameworks,fantasy-reality-congruence; fantasy-vs-practice; consent; kink-education; shame-reduction
48,Five Love Languages,Framework & Model,"A specific, widely known model that groups affection into five categories: Words of Affirmation, Acts of Service, Receiving Gifts, Quality Time, and Physical Touch.","This framework is popular for couples because it’s memorable and practical, but it can oversimplify if treated as fixed identity labels. Strong reporting frames it as a communication tool: experiment, ask, and adapt—especially across cultures where touch, gifts, and service have different meanings.",Partners compare their top two love languages; A couple uses the model to plan date nights and daily affection; Someone discovers “acts of service” matter more than gifts.,Relationship Dynamics & Intimacy,General,"The five love languages are a validated diagnostic test; You only have one love language; If partners differ, they’re incompatible; The model should replace real conversation about needs.",Love Language; Communication Style; Relationship Satisfaction; Typical Beliefs,five-love-languages; chapman; affection-model; couples-tool; relationship-skills; cross-cultural
49,Friends with Benefits,Identity & Orientation,"A connection that combines friendship with sex, typically without a traditional committed romantic relationship.","FWB works best with clarity about expectations (exclusivity, emotional involvement, communication, and what happens if feelings change). Across cultures, discretion and privacy norms may affect how people label or discuss FWB. Consent and aftercare still matter, even when the relationship is casual.",Two friends agree to have sex while staying non-exclusive; Agreement to keep dating others; Clear check-ins to prevent ambiguity.,Relationship Dynamics & Intimacy,Sensitive,"FWB means no feelings are allowed; FWB is always emotionally unsafe; FWB equals using someone; If it’s casual, consent and aftercare don’t matter.",Casual Dating; Hook-Up / Non-Relational Sex; Situationship; Boundaries,friends-with-benefits; fwb; casual-sex; dating-agreements; expectations; modern-dating
50,Genital,Signal & Cue,"Genital (physiological) arousal signals such as erection, lubrication, swelling, sensitivity, and changes in genital blood flow.","Genital signals are bodily responses that can be influenced by friction, hormones, nervous-system state, and context. They may not match subjective desire, so reports should avoid using genital cues as proof of consent. In many cultures, discussing genital response may be sensitive—use respectful, medically neutral language.",Erection without desire; Lubrication increases during foreplay; Genital sensitivity changes with stress or medication.,Desire & Arousal,Sensitive,"Genital response equals consent; If genital response is slow, attraction is missing; Genital response proves sexual orientation; Genital signals are fully controllable by willpower.",Subjective; Arousal Non-Concordance; Autonomic Nervous System; Cortisol,genital-arousal; physiological-response; erection; lubrication; consent-first; sexual-health
51,Grounded / Integrated,State & Experience,"A stage where sexuality feels steady, values-aligned, and sustainable—supported by clear communication, consent, and predictable conditions for connection.","“Grounded” doesn’t mean boring; it means the relationship has a reliable intimacy rhythm and both partners feel safe to express needs and boundaries. Recommendations often focus on maintenance habits: check-ins, repair, and small novelty that fits the couple’s culture and lifestyle.",A couple has a shared initiation routine that feels natural; Partners can say no without conflict and reconnect easily; Desire stays stable through planning and stress management.,Relationship Dynamics & Intimacy,Sensitive,"Integrated means you’ll always want sex; Grounded equals low passion; If you’re grounded, you don’t need check-ins; Integration is only possible in “perfect” relationships.",Longitudinal Check-ins; Cognitive Consonance; Hardware–Software Consonance; State-Based Reward; Relationship Satisfaction,grounded; integrated; sustainable-intimacy; relationship-rhythm; consent-aware
52,Growth Potentials,Framework & Model,"Report language for the most promising areas where small changes can meaningfully improve intimacy, communication, and satisfaction.","Growth potentials highlight leverage points (e.g., reduce pressure, add privacy, improve initiation clarity) rather than framing people as broken. This is most effective when paired with structured action → integration, realistic pacing, and culturally appropriate options (private, low-intensity steps). Clear, non-shaming language supports global usability.",“Add a weekly check-in”; “Create a decompression ritual before initiation”; “Practice a simple consent phrase”; “Shift from outcome goals to process pleasure.”,Product & Assessment,General,Growth means something is wrong with you; Growth requires big dramatic change; Growth potential guarantees results; Growth replaces consent and communication.,Structured Action → Integration Sequence; Reflective Prompts; Longitudinal Check-ins; State Optimization,growth-potentials; relationship-growth; intimacy-improvement; actionable-insights; couples-tools; global-compatibility
53,High Curiosity Orientation,Trait & Disposition,"A curiosity subtype where a person is energized by exploration, variety, and learning new dynamics, ideally within clear consent and safety guardrails.","High curiosity often pairs with novelty preference and experimentation, but it can be practiced gently and privately. Reports should offer “intensity ladders” (mild → moderate → advanced) so users can explore in culturally appropriate and consent-centered ways.",Enjoys trying new scenarios or role ideas; Seeks new knowledge and tools; Likes debriefing and iterating after experiments.,"Fantasy, Kink & Exploration",Sensitive,High curiosity equals recklessness; High curiosity means dissatisfaction with a partner; Curiosity requires extreme acts; Curiosity cancels boundaries.,Curiosity Level; Sensory Play; Ethical Constraints; Aftercare,high-curiosity; exploration-oriented; novelty-seeking; intimacy-experiments; kink-curiosity
54,High-Risk Orientation,Trait & Disposition,"A report sub-type indicating preference for higher novelty, faster escalation, and comfort with uncertainty—ideally with strong consent practices and safety planning.","High-risk orientation can be playful and exciting when paired with explicit consent and aftercare, but it can create friction with low-risk partners if pacing isn’t negotiated. Geo-ready reporting should emphasize ethical constraints and non-pressure language.",Enjoys spontaneous escalation; Likes intense novelty contexts; Benefits from clear safe words and debriefs during exploration.,"Fantasy, Kink & Exploration",Sensitive,High risk equals unsafe behavior; High risk justifies persistence after a no; High risk means commitment is impossible; High risk partners should “tone it down” for love.,Risk Orientation; Consent Frameworks; Aftercare; Curiosity & Exploration Orientation,high-risk; adventurous; fast-pacing; novelty-seeking; consent-safety
55,Hook-Up / Non-Relational Sex,Identity & Orientation,"Sex that is not intended to form a romantic relationship, often occurring as a one-time or occasional encounter.","Hookups can be ethical and positive when consent is clear, safer-sex is practiced, and expectations are aligned. Risk increases when alcohol, pressure, or vague “maybe” signals are involved. Geo-friendly language should avoid shame while emphasizing consent, safety, and privacy.",One-time consensual encounter; Occasional sex without dating; Meeting while traveling with clear expectations and safer-sex planning.,Consent & Boundaries,Highly Sensitive,"Hookups mean low self-worth; Consent is implied if people flirt; If it’s casual, safer-sex doesn’t matter; Hookups are always emotionally harmful.",Friends with Benefits; Consent Frameworks; Boundaries; Safer-Sex Agreements,hookup; casual-sex; nonrelational-sex; consent; safer-sex; nightlife
56,Importance of Sexuality,Trait & Disposition,A report dimension describing how central sexual connection is to someone’s relationship satisfaction and wellbeing.,"Importance is not the same as frequency or libido; it’s about priority. It can change with stress, health, parenting, aging, and cultural values. Reporting should avoid ranking (high isn’t “better”) and instead support negotiation: how to meet needs through sex, affection, reassurance, or alternative intimacy.",Sex feels like a key bonding channel; Sex matters but affection and teamwork matter more; Importance drops temporarily during burnout or illness.,Pleasure & Sexual Wellbeing,Sensitive,High importance means being shallow; Low importance means no love; Partners must match exactly; Importance equals sexual performance.,Sexual Frequency Expectations; Desire Discrepancy; State Optimization; Emotional Intimacy,importance-of-sex; intimacy-priority; relationship-satisfaction; libido-compatibility; life-stage
57,Inadequacy / Performance Insecurity,Trait & Disposition,"A fear of not being “good enough” sexually or relationally, often linked to self-monitoring, shame, or performance anxiety.","This insecurity can reduce desire by activating arousal brakes (overthinking, fear of judgment). It often improves through realistic expectations, state-based rewards, supportive feedback, and consent-centered pacing.",Over-focusing on orgasm or erection; Avoiding initiation due to fear of disappointing a partner; Feeling tense when receiving feedback about preferences.,Emotional & Attachment Patterns,Highly Sensitive,"Performance insecurity means you don’t want your partner; Confidence should be effortless; Trying harder fixes it; If you’re insecure, you should hide it from partners.",Core Insecurities; Performance Anxiety; Presence vs Performance; Validation,performance-insecurity; inadequacy; sexual-anxiety; self-consciousness; confidence-building
58,Indirect / Invitational Initiation,Pattern & Dynamic,"An initiation subtype where someone starts intimacy through cues (flirtation, closeness, touch hints) that invite a response rather than a direct verbal ask.","Indirect initiation can be culturally normal and can feel playful. The risk is signal mismatch, especially across cultures or neurodiversity differences. Reports should encourage “cue + check” (a playful cue paired with a simple consent check-in) to stay clear and respectful.",Leaning in for a kiss and pausing to check; Playful teasing that invites closeness; Touch-first initiation with a quick “is this okay?”,Sexual Communication & Initiation,Sensitive,"Indirect initiation is always manipulative; If cues are given, consent is assumed; Indirect styles are childish; Indirect initiation means poor communication.",Initiation Style; Signal Mismatch; Consent Frameworks; Playful Seducer,indirect-initiation; flirting-cues; invitational; consent-checkin; cross-cultural-dating
59,Initiation Style,Metric & Measurement,"A report dimension describing how someone typically starts intimacy (direct, indirect, responsive, conditional, or avoidant) and what initiation feels safe and appealing.","Initiation style is shaped by culture, privacy norms, gender scripts, and past experiences. Mismatches often create signal confusion (“I thought you weren’t interested”). Best practice is to co-design an initiation “protocol” that’s respectful, clear, and consent-centered—especially in multicultural relationships.",Prefers explicit verbal invites; Prefers touch-first cues with check-ins; Initiates only when privacy and time are guaranteed.,Sexual Communication & Initiation,Sensitive,"If your styles differ, you’re incompatible; Indirect initiation is always manipulative; Direct initiation ruins romance; Initiation style proves experience level.",Active / Direct Initiation; Responsive Initiation; Indirect / Invitational Initiation; Signal Mismatch,initiation-style; starting-intimacy; consent-language; flirting; relationship-clarity; cross-cultural
60,Learning- and Mastery-Driven Curiosity,Trait & Disposition,"A curiosity subtype where exploration is motivated by skill-building—understanding bodies, communication, technique, and “getting better” through practice.","This subtype often prefers structured learning, feedback, and gradual progress. It pairs well with progressive precision and action → integration sequences. Reports should encourage presence so mastery doesn’t become performance pressure.",Enjoys learning anatomy and pleasure skills; Uses check-ins to improve communication; Tries one new practice at a time and integrates what works.,Pleasure & Sexual Wellbeing,General,"Mastery makes sex robotic; If you’re skilled, you never struggle; Learning should override partner preferences; Technique matters more than consent and connection.",Skill- and Knowledge-Based Confidence; Progressive Precision; Presence vs Performance; Reflective Prompts,mastery-driven-curiosity; skill-building; sex-education; pleasure-skills; relationship-learning
61,Libido Challenges,Pattern & Dynamic,"Ongoing difficulties with desire level, frequency alignment, or sustaining interest in sex, often influenced by stress, health, relationship context, or beliefs.","Libido challenges are common and rarely have one cause. Reports should normalize variability, avoid shame, and focus on actionable levers: energy, privacy, repair, communication, and medical support when relevant (pain, hormonal issues, medication side effects). For geo-ready guidance, consider living arrangements and cultural tabooization that limit privacy and conversation.",Desire drops during burnout or conflict; Partners mismatch on frequency expectations; Interest is present but arousal is hard to sustain; Desire returns on vacations/weekends.,Pleasure & Sexual Wellbeing,Sensitive,Low libido means low love; Libido issues are purely psychological; Libido can be fixed by willpower or pressure; Libido challenges mean the relationship is doomed.,Desire Discrepancy; Stress And Desire; Energy Level; Conditional Desire; Longitudinal Check-ins,libido-challenges; low-libido; desire-problems; sexual-frequency; relationship-stress; global-wellbeing
62,Living Apart Together (LAT),Identity & Orientation,A committed relationship where partners choose to live in separate homes while maintaining an ongoing partnership.,"LAT can be driven by work, parenting, finances, cultural expectations, or a preference for independence. It can support desire by preserving autonomy and novelty, but it also requires intentional rituals for connection and clear agreements about time, privacy, and commitment.",Partners maintain separate apartments; A couple chooses LAT to balance family responsibilities; Long-term partners live separately but plan regular intimacy time.,Relationship Dynamics & Intimacy,General,LAT means low commitment; LAT is just dating; Living separately guarantees better sex; LAT removes the need for relationship agreements.,Relationship Form Preference; Autonomy Need; Loyal Ritualist; Sexual Stage,lat; living-apart-together; separate-homes; modern-commitment; relationship-structure; global-lifestyles
63,Love Language,Framework & Model,"A popular way to describe how people prefer to give and receive affection (e.g., words, time, touch, help, gifts).","Love language concepts can improve communication by turning vague needs into clear requests (“I need more touch” or “more quality time”). It’s not a clinical model and shouldn’t be used to stereotype or excuse unmet needs. Geo-friendly use means adapting examples to local norms (public affection, family roles, gift customs).",One partner feels loved through acts of service; Another needs regular verbal appreciation; A couple negotiates touch and time as primary affection channels.,Relationship Dynamics & Intimacy,General,"Love languages are scientifically precise personality types; If you know love languages, conflict disappears; One love language is better than others; Love languages replace consent and boundaries.",Five Love Languages; Communication Style; Validation; Emotional Intimacy,love-language; affection-styles; relationship-communication; quality-time; physical-touch; global-culture
64,Low-Risk Orientation,Trait & Disposition,"A report sub-type indicating preference for predictability, gradual pacing, and clear agreements before trying new intimacy steps.","This style often thrives with structure, privacy, and explicit consent language. It can be culturally reinforced in communities that value modesty or discretion. Growth involves adding “safe novelty” without pressure, if desired.",Prefers planned time and clear boundaries; Likes familiar routines; Needs trust before experimenting.,Relationship Dynamics & Intimacy,General,Low risk means low desire; Low risk is fear-based and unhealthy; Low risk partners are incompatible with anyone adventurous; Low risk eliminates the need for consent talk.,Risk Orientation; Routine Comfort; Consent Frameworks; Loyal Ritualist,low-risk; gradual-pacing; predictability; safety-first; intimacy-style
65,Mind-Led Arousal,Pattern & Dynamic,"An arousal pattern where thoughts, imagination, anticipation, or fantasy typically activate desire before (or more than) physical touch does.","Mind-led arousal often responds strongly to narrative, novelty, teasing, and private mental space. It can be culturally shaped: in more conservative contexts, imagination may be a safer pathway than explicit action. Mind-led arousal is healthiest when paired with consent clarity—fantasy and desire cues should never pressure a partner.",Getting turned on by fantasy or role-play ideas; Desire spikes with anticipation texts before a date; Arousal builds through mental imagery even before touch.,Desire & Arousal,Sensitive,"Mind-led means you don’t like real sex; If you fantasize, you must enact it; Mind-led arousal is “just porn”; Mental arousal equals consent.",Fantasy Pull; Fantasy–Reality Congruence; Emotion-First Arousal; Consent Frameworks,mind-led-arousal; imagination; anticipation; fantasy-driven-desire; global-intimacy
66,Moderate-Risk Orientation,Trait & Disposition,"A report sub-type indicating comfort with some novelty and spontaneity while still valuing safety, consent, and clear limits.",This style often adapts well across life stages: playful experimentation with reliable repair and communication. It’s often the easiest to negotiate because both adventure and caution are available depending on context.,Enjoys trying new ideas sometimes; Will explore with clear boundaries; Likes mixing routine with occasional novelty.,Relationship Dynamics & Intimacy,General,Moderate risk means indecisive; Moderate risk is “average” and unimportant; Moderate risk means your preferences don’t matter; Moderate risk guarantees compatibility.,Risk Orientation; Curiosity & Exploration Orientation; Consent Frameworks,moderate-risk; balanced-pacing; safe-novelty; adaptable-style; relationship-fit
67,Monogamish,Identity & Orientation,"A mostly monogamous relationship with limited, negotiated exceptions (often occasional sex outside the relationship).","“Monogamish” arrangements vary widely by culture and couple: some allow rare exceptions, some allow experiences together, and some allow specific contexts (travel, events). It works best when boundaries are explicit, consent is ongoing, and secrecy is avoided. Many couples use it to balance commitment with novelty needs.",Occasional outside sex with clear rules; Threesomes with mutual consent; “Mostly exclusive” with pre-agreed exceptions.,Relationship Dynamics & Intimacy,Sensitive,Monogamish is just cheating with a nicer name; It means the relationship is failing; It removes the need for boundaries; Everyone can handle it emotionally if they agree once.,Open Relationship; Consent Frameworks; Boundaries; Novelty; Jealousy Management,monogamish; mostly-monogamous; negotiated-exceptions; ethical-nonmonogamy; relationship-rules
68,Monogamy,Identity & Orientation,A relationship agreement where partners commit to sexual and/or romantic exclusivity with each other.,"Monogamy can mean different things in different countries, communities, and life stages: some couples define it as sexual exclusivity, others include emotional exclusivity, and some renegotiate boundaries over time. The healthiest version is explicit and consent-based—partners clearly define what “exclusive” means to them (online flirting, porn, emotional intimacy, etc.).",“Just us” sexually and romantically; Agreement to not date or sleep with others; Clear boundaries about flirting and intimacy with others.,Relationship Dynamics & Intimacy,General,Monogamy means never feeling attraction to others; Monogamy is automatically the most ethical option; Monogamy guarantees sexual satisfaction; Monogamy means you never need consent conversations.,Relationship Form Preference; Boundaries; Consent Frameworks; Silent (Assumed) Monogamy,monogamy; exclusive-relationship; relationship-agreement; commitment; dating-norms; global-relationships
69,Novelty,Framework & Model,"A report signal describing how much newness, variety, and anticipation drive someone’s arousal and relationship excitement.","Novelty can be sexual (new activities) or contextual (new settings, dates, playful routines). High novelty preference doesn’t mean low commitment; it often means the reward system responds strongly to change and anticipation. Geo-friendly guidance includes “small novelty” options that fit privacy and cultural constraints.",New date nights reignite desire; Arousal increases on travel or in new contexts; A couple adds playful initiation rituals without changing relationship agreements.,Desire & Arousal,General,"Novelty means you can’t be monogamous; You must do extreme things; Novelty is disrespectful to tradition; If novelty fades, love is gone.",Event-Based Reward; Reward System Recalibration; Arousal Accelerator; State Optimization,novelty; variety; anticipation; spark; desire-drivers
70,Open Relationship,Identity & Orientation,A consensual agreement that allows partners to have sexual (and sometimes romantic) connections outside the primary relationship.,"Open relationships fall under ethical/consensual non-monogamy (ENM). The healthiest versions are explicit about scope (sex-only vs romantic), privacy, safer-sex practices, and how to handle feelings. Cultural context matters: in some regions discretion is a safety need, but secrecy should never replace consent.",Partners date or have sex with others with agreement; A couple allows outside sex but prioritizes the primary bond; Clear safer-sex and disclosure rules.,Relationship Dynamics & Intimacy,Sensitive,Open relationships never involve commitment; Openness automatically fixes libido problems; Jealousy means it’s not working; Openness removes the need for consent and communication.,Relationship Form Preference; Boundaries; Consent Frameworks; Don’t-Ask-Don’t-Tell (DADT); Polyamory,open-relationship; consensual-nonmonogamy; ethical-nonmonogamy; relationship-agreements; safer-sex
71,Orgasm,Framework & Model,"A report signal describing how important orgasm is to someone’s sense of sexual satisfaction, completion, and reward.","For some people orgasm is central; for others it’s optional or variable. Over-focusing on orgasm can increase performance pressure, while under-valuing it can ignore legitimate needs. Reporting should emphasize consent, pleasure diversity, and communication, and avoid making orgasm a “scorecard.”",Sex feels incomplete without orgasm; Satisfaction comes from closeness even without orgasm; A couple reduces pressure by widening pleasure goals while still honoring orgasm needs.,Pleasure & Sexual Wellbeing,Sensitive,"Orgasm is the only measure of good sex; If orgasm doesn’t happen, something is wrong; Partners are responsible for each other’s orgasm; Orgasm focus cancels consent and pacing.",Event-Based Reward; State-Based Reward; Presence vs Performance; Performance Anxiety,orgasm; climax; sexual-satisfaction; pleasure-goals; outcome-focus
72,Outcome-Focused,Trait & Disposition,"A pleasure orientation where satisfaction depends strongly on results (orgasm, performance goals, “success markers,” intensity peaks).","Outcome focus can be motivating, but it often increases performance anxiety and reduces presence. Reports should offer balancing strategies: widen the definition of success, add process rewards, and use consent check-ins so goals never become pressure. This is especially important when stress or health changes make outcomes variable.",Sex feels incomplete without orgasm; Tracking performance milestones; Feeling disappointed despite connection if goals aren’t met.,Pleasure & Sexual Wellbeing,Sensitive,"Outcome focus is always selfish; If orgasm doesn’t happen, sex failed; Goals should override partner comfort; Outcome focus guarantees better sex.",Event-Based Reward; Performance Anxiety; Orgasm; Presence vs Performance,outcome-focused; orgasm-focus; performance-goals; sexual-satisfaction; anxiety; couples-communication
73,Oxytocin,Data & Research Method,"A hormone and neuropeptide associated with bonding, trust cues, and social connection, which can support closeness and post-intimacy warmth.","Oxytocin effects vary by context: it often amplifies existing social cues rather than guaranteeing trust. In intimacy reporting, it’s best described as a “bonding signal” that can increase feelings of closeness when the relationship context is safe and consensual.",Cuddling increases a sense of connection; Aftercare deepens emotional bonding; Gentle touch and reassurance support closeness before intimacy.,Emotional & Attachment Patterns,General,"Oxytocin guarantees trust; Oxytocin means monogamy is natural; Oxytocin replaces communication and repair; If you don’t feel bonded, something is wrong with you.",Biochemical Reward System Dynamics; Endorphins; Emotional Intimacy; Aftercare,oxytocin; bonding; attachment-chemistry; closeness; aftercare; intimacy
74,Pacing & Arousal Curve,Framework & Model,"A report concept describing how speed, timing, and escalation shape arousal—how quickly it builds, peaks, and settles for a person or couple.","Pacing is a major compatibility factor: some people like a slow build, others prefer quick escalation. Differences can be negotiated by creating “pacing agreements” (slow/fast lanes) and using consent check-ins at key moments. Geo factors like privacy and time constraints strongly affect pacing.","One partner needs a long warm-up; A couple agrees on “slow start, then decide”; Arousal drops when rushed; Planning earlier in the evening improves pacing.",Desire & Arousal,Sensitive,Pacing shouldn’t matter if attraction is real; Faster is always better; Slow pacing means low desire; Pacing agreements ruin spontaneity.,Arousal Curve; Spike-Based Arousal; Wave-Based Arousal; Consent Frameworks,pacing; arousal-curve; sexual-escalation; foreplay; intimacy-timing; global-lifestyles
75,Partner-Focused,Need & Preference,"A relational subtype where arousal and satisfaction increase when attention is on a partner’s cues, pleasure, and emotional experience.","Partner-focused orientation can support attunement and generosity, but it can also slide into people-pleasing if boundaries are weak. Reports should encourage mutuality: partner-focus plus self-advocacy and consent clarity (“I want to give, and I also want…”).",Most turned on by giving pleasure; Reads partner cues closely; Feels satisfied when the partner feels safe and cared for.,Pleasure & Sexual Wellbeing,Sensitive,Partner-focused means ignoring your own needs; Partner-focused people should always say yes; Partner focus removes the need for consent; Partner focus guarantees compatibility.,Relational Orientation; Devoted Caregiver; Boundaries; Consent Frameworks,partner-focused; attunement; giving-pleasure; mutuality; consent-first; couples-connection
76,Passive or Avoidant Initiation,Pattern & Dynamic,"An initiation subtype where someone rarely initiates and may withdraw when intimacy feels pressured, unsafe, or overwhelming.","This can be driven by low energy, anxiety, shame scripts, fear of rejection, trauma history, or relationship conflict. Reports should avoid blame and focus on safety, repair, and low-pressure reconnection. If coercion or distress is present, non-harm principles and professional support are more important than “tips.”",Avoids initiating due to fear of rejection; Pulls back when a partner escalates quickly; Prefers affection without expectations.,Consent & Boundaries,Highly Sensitive,"Passive means no attraction; Avoidant initiation should be “fixed” by pushing; If someone doesn’t initiate, consent is implied when they don’t resist; Withdrawal is punishment.",Quiet Withdrawer; Arousal Brake; Repairing / Reconnecting; Non-Harm Principles,passive-initiation; avoidant-initiation; pressure-response; emotional-safety; consent-first
