ID,Term,Type,Definition,Extended Notes,Examples,Domain,Sensitivity Level,Misinterpretations,Related Terms,Tags
35,Energy Level,Trait & Disposition,"A person’s typical level of physical and emotional energy available for dating, intimacy, and sex, which influences pacing and frequency preferences.","Energy level is affected by sleep, health, workload, parenting, mental health, and stress—not just attraction. Many libido conflicts are actually energy conflicts. Talking about energy level supports practical solutions (timing, planning, reducing stressors) and reduces personalizing a partner’s fatigue as rejection.","A couple schedules intimacy earlier in the evening because late nights reduce energy; A partner wants shorter, more frequent connection because long sessions feel draining; Desire increases on weekends when recovery time is available.",Pleasure & Sexual Wellbeing,General,Low energy equals low attraction; High energy means someone always wants sex; Energy issues can be solved by pushing through; Energy level is purely a personality trait and not health-related.,Stress And Desire; Desire Discrepancy; Routine Comfort; Arousal Brake; Sexual Frequency Expectations,energy-level; fatigue-and-libido; sexual-frequency; stress-management; relationship-planning; wellbeing
36,Erotic Polarity,Trait & Disposition,"A preferred erotic dynamic where partners feel energized by contrast (for example, leading/following, giving/receiving, assertive/receptive) in consensual ways.","Erotic polarity is often discussed as “charge” created by complementary roles, but it is not limited to gender and can be fluid. Some people prefer strong polarity; others prefer symmetry and mutuality. Clarifying polarity preferences can reduce frustration and improve initiation, especially in long-term relationships where roles may drift.",A couple enjoys a clear initiator and a clear receiver role; Partners rotate roles to keep variety without losing the dynamic; Someone prefers equal initiation and feels turned off by rigid roles.,Identity & Attraction,Sensitive,"Polarity requires traditional gender roles; Polarity is the same as dominance/submission; Polarity means one partner is more important; If polarity is low, the relationship is doomed.",Power Orientation; Initiation & Communication Style; Sexual Script; Arousal Style; Relationship Satisfaction,erotic-polarity; attraction-dynamics; masculine-feminine-energy; role-balance; intimacy-chemistry; relationship-scripts
37,Ethical Constraints,Expectation & Norm,"Explicit rules and limits that ensure guidance and recommendations prioritize consent, privacy, and wellbeing over engagement or novelty.","Ethical constraints define what a system will not do (e.g., encourage coercion, violate confidentiality, or normalize harm). They protect users by shaping both scoring and language generation. In geo-distributed products, constraints should be consistent on core safety while allowing culturally sensitive phrasing and support pathways.",Preventing suggestions that pressure a partner; Requiring clear consent language for exploration content; Limiting how sensitive data is used in reports.,Consent & Boundaries,General,Ethical constraints are censorship; Constraints mean the product has a moral agenda; Constraints reduce user agency; Constraints guarantee that outputs are always correct and safe.,Non-Harm Principles; Gates / Guardrails; Consent Frameworks; Anonymization; Ethical Containment,ethical-constraints; consent-first; privacy-by-design; safety-standards; responsible-guidance
38,Ethical Containment,Practice & Skill,"A way of holding intense fantasies, impulses, or taboo curiosity within clear boundaries so exploration remains consensual, private, and non-harmful.","Ethical containment allows people to acknowledge desire without acting in ways that violate consent, agreements, or safety. It can involve fantasy-only exploration, role play with negotiated limits, or structured disclosure with aftercare. The goal is neither indulgence nor suppression-it is responsible integration.","Journaling or guided imagery instead of acting out a risky impulse; Negotiating a role-play scene with a safe word and limits; Choosing not to share a fantasy if it would pressure a partner, while still working with it privately.","Fantasy, Kink & Exploration",Highly Sensitive,"Containment means repression and shame; If you contain a desire, it will disappear; Ethical containment justifies harmful urges; Containment removes the need for consent agreements.",Sexual Shadow; Fantasy vs Practice Distinction; Consent; Boundaries; Aftercare,ethical-containment; fantasy-management; kink-safety; boundaries; consent-first
39,Event-Based Reward,Framework & Model,"A reward pattern where motivation and satisfaction depend mainly on discrete outcomes such as orgasm, novelty, or ""success"" markers rather than the ongoing experience.","Event-based reward can be healthy (celebrating milestones) but can also create chasing and pressure when it becomes the only way satisfaction is measured. In intimacy, an overly event-focused reward style may increase performance anxiety and reduce curiosity. Balancing it with state-based reward often supports more sustainable pleasure and connection.","Only feeling sex ""counts"" if orgasm happens; Seeking constant novelty as the main driver of desire; Feeling disappointed despite connection because a goal wasn't achieved.",Desire & Arousal,General,"Event-based reward is childish; Orgasms don't matter at all; If you prefer events, you can't build long-term intimacy; Reward patterns are fixed and can't be rebalanced.","State-Based Reward; Performance Anxiety; Neurochemical ""Big Three"" (dopamine / oxytocin-vasopressin / endogenous opioids); Reward System Recalibration; Presence vs Performance",event-based-reward; orgasm-focus; novelty; motivation; desire-patterns
40,Evolutionary Hardware,Framework & Model,"The built-in biological systems shaped by evolution—such as hormones, reward circuits, and threat detection—that influence desire, attraction, and bonding.","Evolutionary hardware sets broad parameters (what feels rewarding, what feels risky), but it is not destiny. Health, sleep, stress, aging, and context can all change how the hardware expresses. Pairing this concept with psychological and social “software” avoids simplistic conclusions and supports individualized care.",Stress hormones suppress arousal even when attraction is present; Novelty cues quickly activate excitement for some people; Safety cues increase openness to touch and intimacy.,Desire & Arousal,General,"Evolutionary hardware proves everyone wants the same thing; If it’s biological, it can’t be changed; Hardware explanations justify harmful behavior; Culture has no influence on attraction.",Biochemical Reward Dynamics; Archaic Algorithms; Autonomic Nervous System (ANS); Desire; Arousal Accelerator,evolutionary-hardware; biology-of-desire; reward-system; threat-response; attraction; bonding
41,Evolutionary Mismatch,Framework & Model,"A concept describing how evolved human drives and attraction patterns can clash with modern environments, technology, and social expectations.","Evolutionary mismatch doesn’t mean people are “primitive”; it highlights that the conditions shaping desire (scarcity, small communities, slow feedback) differ from today’s high-stimulation world. In sexuality, mismatch can show up as attention pulled toward novelty, stress-related desire shifts, or confusion between safety cues and arousal cues. The framework is best used to generate compassion and better choices, not to excuse harmful behavior.",Feeling overstimulated by endless online novelty and struggling to stay present during partnered sex; Stress and sleep disruption reducing libido despite a strong relationship; Comparing your relationship to curated social media ideals and feeling dissatisfied.,Desire & Arousal,General,"Evolutionary mismatch proves humans can’t be monogamous; “Evolution” excuses cheating or coercion; If desire changes, the relationship is doomed; Mismatch is purely biological and ignores culture and learning.",Desire; Stress And Desire; Arousal Accelerator; Arousal Brake; Sexual Script,evolutionary-mismatch; modern-sexuality; desire-drivers; arousal-triggers; novelty; relationship-psychology
42,Fantasy vs Practice Distinction,Framework & Model,A clear separation between what feels arousing in imagination and what a person wants-or would be ethical-to do in real life.,"Many fantasies involve symbolism, novelty, or power dynamics that do not translate into real-world preferences. The distinction supports consent and reduces shame by allowing fantasy to be understood as imagination rather than intention. It is also helpful for safe disclosure: partners can share themes while agreeing on what stays in fantasy and what is negotiable in practice.","Enjoying a fantasy theme while having no desire to enact it; Sharing a fantasy as a story rather than a request; Agreeing that certain themes stay in imagination only, with clear boundaries.","Fantasy, Kink & Exploration",Highly Sensitive,"Fantasies reveal what you secretly want to do; If something turns you on, you must try it; Sharing a fantasy is a demand; Fantasy-talk makes consent less important.",Ethical Containment; Sexual Shadow; Fantasy Comfort; Consent; Kink Disclosure,fantasy-vs-practice; fantasy-reality; kink-education; consent; shame-reduction
43,Feedback Loops,Pattern & Dynamic,"Self-reinforcing cycles where outcomes of behavior feed back into future behavior, strengthening either growth or problems over time.","Feedback loops explain why small patterns compound: avoidance can reduce confidence, which increases avoidance; good repair can build trust, which increases openness. In intimacy, loops can form around stress, rejection sensitivity, and reward expectations. Seeing the loop helps people choose small, consistent interventions that shift the trajectory.","Avoiding initiation reduces sexual confidence and makes initiation even less likely; Regular check-ins increase clarity, which reduces conflict and improves desire; Anxiety leads to rushed sex, which reduces satisfaction and increases anxiety.",Relationship Dynamics & Intimacy,General,"Feedback loops mean nothing can change; A loop is the same as a personality trait; If a loop exists, the relationship is doomed; You can fix loops with a single big conversation.",Relational Loops; Longitudinal Check-ins; Sexual Confidence; Performance Anxiety; Reward System Recalibration,feedback-loops; relationship-systems; habit-change; positive-cycle; negative-cycle
44,Flow States,State & Experience,"A state of deep absorption where attention is fully engaged and self-consciousness decreases; in intimacy it can feel effortless, playful, and time-distorted.","Flow tends to emerge when there is enough safety, clear consent, and a good balance between comfort and stimulation. In sexuality, flow often looks like responsive pacing, mutual attunement, and reduced performance monitoring. People can support flow by reducing interruptions, creating privacy, and using communication that keeps both partners oriented to the present.",Losing track of time during connected intimacy; Feeling playful and spontaneous without overthinking; Noticing that privacy and emotional safety make it easier to stay absorbed.,Desire & Arousal,General,"Flow means intensity or orgasm must happen; Flow can be forced; If you don't reach flow, sex is failing; Flow is only for new relationships.",Optimal Sexual States; Presence vs Performance; State Optimization; Arousal Window; Emotional Safety,flow-states; sexual-flow; presence; absorption; arousal
45,Friction Points,Pattern & Dynamic,"Recurring situations where two people's needs, preferences, or expectations rub against each other and create tension in the relationship.","Friction points are not failures-they are negotiation zones. Common friction involves initiation style, frequency expectations, privacy needs, or different cultural scripts. Mapping friction points helps couples separate solvable logistics from deeper value conflicts and choose targeted experiments rather than repeating the same argument.","One partner wants spontaneous sex while the other needs planned time; Different definitions of ""quality time"" create conflict; A mismatch between direct vs indirect initiation leads to repeated misreads.",Relationship Dynamics & Intimacy,Sensitive,"Friction means you're incompatible; Friction is always a sign of low love; The solution is to avoid the topic; Whoever cares less should ""win.""",Desire Discrepancy; Signal Mismatch; Initiation & Communication Style; Boundaries; Relationship Satisfaction,friction-points; relationship-conflict; negotiation; compatibility; communication
46,Gates / Guardrails,Framework & Model,"Hard or soft constraints in a system that prevent unsafe, incompatible, or non-consensual recommendations and keep results within ethical boundaries.","Guardrails can block matches when relationship form preferences conflict, when consent comfort is low, or when privacy rules require data minimization. They also help reduce harms from overconfident scoring by enforcing minimum thresholds and human-readable warnings. Good guardrails are transparent, culturally sensitive, and designed to protect users first.",Blocking recommendations that ignore a stated non-negotiable boundary; Requiring a minimum consent-comfort score before suggesting kink exploration content; Preventing sharing of identifiable data in public reports.,Consent & Boundaries,General,"Guardrails are censorship and always bad; If the model is accurate, guardrails are unnecessary; Guardrails remove user agency; Guardrails can replace consent and communication.",Consent; Boundaries; Anonymization; Pseudonymization; Compatibility Engine; Targeted Boosts,guardrails; safety-constraints; consent-first; ethical-ai; privacy; relationship-matching
47,Guided Self-Understanding,Practice & Skill,"A structured process of learning your own desires, boundaries, values, and arousal patterns using reflection, education, and safe communication.","Guided self-understanding can be solo (journaling, education) or relational (check-ins, therapy, coaching). It supports geo-diverse users by offering multiple culturally respectful pathways: private reflection, values-aligned language, and consent-centered negotiation rather than one “standard” intimacy script.",Using reflective prompts to name turn-ons and turn-offs; Learning your arousal brakes/accelerators and sharing them with a partner; Revisiting preferences over time with longitudinal check-ins.,Pleasure & Sexual Wellbeing,General,"Guidance means someone else defines your sexuality; Self-understanding should be instant; If you need guidance, you’re broken; Understanding removes the need for consent in the moment.",Reflective Prompts; Arousal Map; Consent Frameworks; Longitudinal Check-ins; Sexual Confidence,guided-self-understanding; sexual-self-knowledge; intimacy-education; relationship-communication; growth; global-access
48,Hardware–Software Consonance,State & Experience,"A mind–body alignment where biological readiness and learned beliefs/scripts support each other, making desire and intimacy feel easier and more natural.","Consonance can look like: your body feels safe, your mind feels permission, and your relationship context supports pacing and consent. It’s often built through reducing brakes (stress, shame), improving safety cues, and updating scripts via positive experience—not by forcing outcomes.",Feeling mentally open and physically responsive in the same context; Desire increases after shame scripts are addressed and sleep improves; A couple aligns expectations so initiation feels welcome and relaxed.,Desire & Arousal,Sensitive,"Consonance means you’ll always want sex; If you’re not aligned, the relationship is failing; Consonance can be achieved by “trying harder”; Consonance removes the need for consent check-ins.",Hardware–Software Framework; Cognitive Consonance; Cognitive and Somatic Dissonance; Arousal Brake,hardware-software-consonance; mind-body-alignment; arousal-support; sexual-wellbeing; consent-aware; relationship-context
49,Hardware–Software Framework,Framework & Model,"A model that separates biological “hardware” (body, brain, hormones, nervous system) from learned “software” (beliefs, scripts, experiences) to explain sexual functioning.","The framework helps people troubleshoot without blame: a desire issue might be hardware (sleep, medication, pain), software (shame, scripts), or both. It is also culturally flexible—software differs widely across countries, religions, and subcultures. Using the model encourages comprehensive solutions: medical care when needed plus communication and skill-building.",Low libido improves after addressing sleep and stress (hardware) and reducing shame (software); Arousal increases when partners change initiation habits and context; Someone notices medication affects response and adjusts with a clinician.,Desire & Arousal,General,"Sexuality is either biology or psychology, not both; “Hardware” problems mean the relationship is failing; “Software” problems can be solved with willpower alone; The model is a diagnostic label rather than a guide.",Evolutionary Hardware; Psychological Software; Social Software; Arousal Brake; Sexual Script,hardware-software-model; sexual-function; biopsychosocial; desire-and-arousal; sex-therapy-framework; wellbeing
50,Hardware–Software Mismatch,Pattern & Dynamic,"A situation where biological factors and learned beliefs/scripts pull in different directions, creating confusion or difficulty with desire, arousal, or intimacy.","Mismatch can be temporary (stress, medication) or long-standing (deep shame scripts, chronic pain). The value of the concept is reducing blame: instead of “I’m broken,” the question becomes “Which parts are hardware, which are software, and what support do they need?” It also encourages multi-path solutions—medical, psychological, relational, and cultural.",Strong attraction but low physical response due to fatigue or medication; Body is responsive but mind feels unsafe because of shame or past conditioning; Desire increases in fantasy but decreases in real-life context because of performance pressure.,Desire & Arousal,Sensitive,Mismatch means you are incompatible with your partner; It’s always caused by trauma; Hardware issues are purely medical and software issues are purely psychological; The mismatch proves your feelings aren’t real.,Hardware–Software Framework; Arousal Brake; Desire Discrepancy; Stress And Desire; Cognitive and Somatic Dissonance,hardware-software-mismatch; mind-body; arousal-difficulties; sexual-function; libido; relationship-context
51,Importance of Sexuality,Trait & Disposition,How central sex and sexual connection are to a person’s overall relationship satisfaction and sense of wellbeing.,"For some people, sexual connection is a primary bonding channel; for others, it is secondary to emotional intimacy, companionship, or shared goals. Importance can shift with health, aging, parenting, and life stress, and it is also shaped by culture and values. Naming this dimension helps couples negotiate frequency expectations without shaming either partner.",A person feels deeply connected through regular sexual intimacy; Someone values sex but is satisfied with lower frequency when affection and communication are strong; A couple renegotiates priorities after childbirth or major stress.,Relationship Dynamics & Intimacy,Sensitive,"If sex is important to you, you are shallow; If sex is less important, you don’t love your partner; Importance equals desire level; Partners should have identical importance to be compatible.",Relationship Satisfaction; Sexual Needs; Sexual Frequency Expectations; Affection Gap; Emotional Intimacy,importance-of-sex; sexual-priorities; relationship-satisfaction; libido-compatibility; intimacy-needs; life-stages
52,Initiation & Communication Style,Trait & Disposition,"A person’s typical way of starting intimacy and talking about sexual needs, including how direct, playful, or cautious they tend to be.","Some people prefer explicit asking and clear consent language; others rely on subtle cues, flirting, or gradual escalation. Styles are shaped by culture, family norms, and past experiences, and mismatches can lead to confusion or resentment. Naming initiation and communication style helps couples create a shared “initiation protocol” that feels respectful and sexy.",One partner prefers direct verbal invites while the other prefers nonverbal touch-first initiation; A couple agrees on a simple check-in phrase to reduce awkwardness; Someone needs more emotional conversation before physical initiation feels welcome.,Sexual Communication & Initiation,Sensitive,"Indirect initiation is always manipulative; Direct initiation ruins spontaneity; If initiation is awkward, attraction is missing; Communication style proves someone is experienced or inexperienced.",Turn-On Cues; Turn-Off Cues; Consent; Boundaries; Sexual Script; Signal Mismatch,initiation-style; sex-communication; consent-language; flirting; relationship-skills; global-intimacy
53,Interpretive Depth,Metric & Measurement,"The level of detail and nuance in how an assessment explains results, including context, uncertainty, and actionable next steps.","High interpretive depth goes beyond scores to include why a result was produced, what it means in real life, and how to discuss it with a partner. It may include multiple contributing dimensions, examples, and guardrail notes. Good depth improves trust across cultures by reducing jargon and showing how to use results responsibly.",A report explains top 3 factors driving a compatibility score; The system offers conversation prompts and boundary check-ins instead of only labels; Results include uncertainty notes and suggestions for revisiting answers over time.,Product & Assessment,General,More depth means the model is always right; Depth equals therapy; Users don’t need consent conversations if explanations are detailed; Interpretive depth should replace human judgment.,Alignment Profiles; Psychometric Scoring Layer; Validity; Reliability; Bias; Gates / Guardrails,interpretive-depth; explainable-assessments; user-insights; relationship-tools; transparency; responsible-ai
54,Item-Level Response Patterns,Data & Research Method,"Patterns found in how people answer individual survey items, including consistency, extremes, missingness, or changes across time or contexts.","Item-level patterns can improve measurement quality (detecting confusing items, translation issues, or response bias). They also raise privacy sensitivity because granular answers can be more identifying than aggregate scores—especially in small regions or niche subgroups—so access should be controlled and minimized.",Noticing one item produces unusually high “neutral” responses in one language; Detecting straight-lining (same answer for many items); Seeing missingness spike on a sensitive question and revising wording.,"Data, Privacy & Measurement",Sensitive,Item-level data is harmless if names are removed; Item patterns prove someone is lying; More item tracking is always better; Item-level analysis replaces consent and transparency.,Likert-Scale Items; Bias; Reliability; Re-Identification Risk; Aggregation & Coarsening,item-level; response-patterns; survey-analytics; measurement-bias; privacy-risk; localization-qa
55,Likert-Scale Items,Metric & Measurement,"Survey questions that ask respondents to choose from ordered options (for example, from “Strongly disagree” to “Strongly agree”) to measure attitudes or traits.",Likert items are common in psychological and relationship research because they are easy to answer and analyze. They require careful translation and cultural adaptation so response meanings stay consistent across languages and regions. Good design also balances positive/negative wording to reduce response bias.,Rating agreement with “I feel comfortable discussing boundaries”; Choosing how often a statement feels true from “Never” to “Always”; Completing a multi-item scale for sexual self-efficacy.,Product & Assessment,General,Likert items measure objective facts; Everyone interprets the scale the same way; More response options always improves accuracy; Likert items eliminate social desirability bias.,Deep Survey; Soft Survey; Validity; Reliability; Bias; Psychometric Scoring Layer,likert-scale; survey-items; questionnaires; measurement; cross-cultural-research; response-bias
56,Limbic System,Data & Research Method,"A network of brain regions involved in emotion, motivation, memory, and threat/reward processing—core drivers of bonding and sexual response.","The limbic system helps assign meaning to touch, attraction cues, and relational safety. It can learn strong associations (positive or negative), which is why context and past experiences influence desire. While popular science sometimes oversimplifies limbic “wiring,” the key takeaway is that emotion and safety shape arousal.",Feeling more desire when emotionally connected and seen; A negative past experience creating a strong brake in similar contexts; Smell or music triggering memories that increase arousal.,Emotional & Attachment Patterns,General,"The limbic system “controls” you completely; Emotional arousal and sexual arousal are always the same; If you understand the limbic system, you can override feelings instantly; Limbic responses are identical across all cultures and people.",Biochemical Reward Dynamics; Attachment Style; Arousal Accelerator; Arousal Brake; Emotional Intimacy,limbic-system; emotion-and-desire; bonding; reward-circuits; attachment; sexual-response
57,LLM Interpretation Layer,Framework & Model,"A system component that uses a large language model (LLM) to translate assessment signals into user-friendly explanations, insights, and suggested next steps.","An LLM interpretation layer sits on top of scores and structured inputs, turning them into clear narratives, examples, and reflective prompts. To stay reliable, it is usually constrained by curated knowledge, retrieval (RAG), and guardrails that prevent overconfident or unsafe claims. For geo-ready experiences, the layer should support localization, culturally respectful language, and plain terms instead of jargon.",Generating a readable summary of top drivers behind a score; Producing partner conversation prompts based on mismatched dimensions; Rephrasing guidance for different reading levels and regions.,Product & Assessment,General,The LLM is a therapist or clinician; The LLM always knows the truth behind your answers; LLM explanations are objective and free of bias; LLM text can replace consent conversations.,Interpretive Depth; Retrieval-Augmented Generation (RAG); Curated Knowledge Base; Gates / Guardrails; Reflective Prompts,llm-interpretation; explainable-ai; assessment-insights; localization; user-guidance
58,Longitudinal Check-ins,Practice & Skill,"Repeat check-ins over time that track changes in desire, wellbeing, communication, or relationship satisfaction rather than relying on a single snapshot.","Longitudinal check-ins help people notice trends (stress seasons, recovery, growth) and reduce overreacting to one bad week. They support accountability without surveillance when participation is voluntary and privacy-respecting. For global use, check-ins should allow flexible schedules and culturally appropriate language for emotions, intimacy, and partnership roles.","Weekly ""how connected do we feel?"" check-in; Monthly review of boundaries, stress, and desired frequency; Tracking arousal brakes/accelerators across different life periods.",Relationship Dynamics & Intimacy,General,"Check-ins are controlling or transactional; If you track it, it becomes unromantic; Check-ins automatically fix problems; Trends are meaningless because people change.",Feedback Loops; Relationship Satisfaction; Stress And Desire; Progressive Precision; Context-Sensitive Assessments,longitudinal-checkins; relationship-tracking; communication-habit; wellbeing-trends; couples-tools
59,Longitudinal Deltas,Metric & Measurement,Quantified changes in a person’s scores or dimensions over time (the “delta” between check-ins).,"Deltas help distinguish temporary states (stress season, life change) from stable traits. In global products, deltas should be interpreted with context (life stage, health, relationship events) and communicated carefully so users don’t treat normal fluctuation as failure.",Change in “sexual confidence” from last month; Shifts in arousal brakes during a high-stress period; Improvement in communication comfort after repeated check-ins.,Product & Assessment,General,Deltas prove the relationship is improving or failing; Any negative delta is bad; Deltas are comparable across users without context; Deltas remove the need for conversation.,Longitudinal Check-ins; Context-Sensitive Assessments; Interpretive Depth; Feedback Loops,longitudinal-deltas; change-over-time; progress-tracking; relationship-metrics; context-aware; wellbeing-trends
60,Motivation for Sexuality,Trait & Disposition,"The primary reasons someone seeks sexual connection, such as pleasure, bonding, stress relief, validation, novelty, or exploration.","Motivations are often layered and can shift across relationships and life stages. Differences in motivation can cause misunderstandings (for example, one partner seeks closeness while the other seeks relaxation). Naming motivations helps partners align expectations and choose activities that meet both people’s needs with consent and care.",One partner wants sex to feel emotionally close while the other wants stress relief; Someone seeks novelty and play as a way to feel alive; A couple uses sex to reconnect after conflict but agrees on aftercare.,Pleasure & Sexual Wellbeing,Sensitive,"There is only one “healthy” motivation for sex; Wanting validation is always manipulative; Motivation should be obvious to partners; If motivations differ, sex will never work.",Emotional Intimacy; Validation Need; Stress And Desire; Aftercare; Desire; Sexual Needs,sexual-motivation; bonding; stress-relief; validation; intimacy-goals; libido-context
61,Neural Plasticity,Data & Research Method,"The brain’s capacity to change through learning and experience, allowing sexual response patterns, preferences, and emotional associations to evolve over time.","Plasticity is why education, new relational experiences, and therapy can shift desire and reduce old brakes, though change often requires repetition and safety. It also explains why repeated exposure to certain cues (including media) can shape arousal templates. The concept supports a growth mindset without blaming people for having learned patterns in the first place.",A couple builds new positive associations by slowing down and communicating what feels good; Someone’s arousal patterns shift after a major life transition; Practicing consent check-ins makes intimacy feel safer and more enjoyable.,Pleasure & Sexual Wellbeing,General,"Plasticity means you can force yourself to like anything; If patterns can change, boundaries don’t matter; Change should be quick if you “try hard”; Plasticity is the same as willpower.",Psychological Software; Somatic Integration; Desire Cues; Arousal Map; Stress And Desire,neural-plasticity; learning-and-desire; conditioned-arousal; sexual-growth; habit-change; intimacy-skills
62,Neurochemical “Big Three” (dopamine / oxytocin-vasopressin / endogenous opioids),Framework & Model,"A shorthand for three neurochemical systems often linked to sexual motivation and reward (dopamine), bonding and attachment (oxytocin/vasopressin), and pleasure/comfort (endogenous opioids).","These systems interact: novelty can boost dopamine, closeness can strengthen bonding signals, and soothing touch can support comfort and satisfaction. Popular media can exaggerate simple “chemical” explanations, so it’s best used as a lens rather than a diagnosis. Culture and relationship meaning strongly shape how these reward signals are experienced and interpreted.","Anticipation and flirting increasing motivation and excitement; Cuddling and affectionate reassurance deepening a sense of bonding; Feeling calm, satisfied, and connected after pleasurable intimacy.",Desire & Arousal,General,Sex is “just chemicals” and love is an illusion; Dopamine means you need constant novelty; Oxytocin guarantees trust or monogamy; Neurochemicals determine compatibility without communication.,Biochemical Reward Dynamics; Limbic System; Attachment Style; Desire; Aftercare,sexual-neurochemistry; dopamine; oxytocin; endogenous-opioids; bonding; pleasure
63,Non-Harm Principles,Expectation & Norm,"Safety-first principles that guide advice and product behavior toward reducing risk, preventing coercion, and supporting user wellbeing.","Non-harm principles often include: prioritize consent, avoid shame, avoid medical or legal overreach, and encourage seeking qualified support when needed. They act as a compass when data is uncertain or culturally sensitive. In relationship contexts, non-harm means respecting autonomy and avoiding ""one right way"" prescriptions.","Using neutral, non-shaming language when discussing desire changes; Recommending pause-and-check-in when someone feels unsure; Suggesting professional support when pain or trauma symptoms are present.",Consent & Boundaries,General,Non-harm means never taking any emotional risk; Non-harm is the same as avoiding all discomfort; Non-harm principles replace boundaries and consent; Non-harm is only relevant for clinical therapy.,Ethical Constraints; Gates / Guardrails; Consent; Emotional Safety; Aftercare,non-harm; do-no-harm; consent-safety; trauma-informed; wellbeing
64,Normalized Dimension Values,Metric & Measurement,Dimension scores that have been scaled to a common range so different traits or needs can be compared or combined more fairly.,"Normalization can be done by min–max scaling, z-scores, or other transformations depending on the product goal. It helps prevent a single dimension from dominating because of raw scale differences. Clear documentation matters because “normalized” values can be misread as absolute truths rather than standardized estimates.",Scaling multiple scores to 0–1 before computing a compatibility summary; Using z-scores so regional norms don’t distort comparisons; Adjusting scores so a 1–5 item scale aligns with a 0–100 report format.,"Data, Privacy & Measurement",General,Normalized means perfect and unbiased; Normalized scores are the same as clinical diagnoses; Higher normalized values are always better; Normalization removes the need for cultural calibration.,Validity; Reliability; Bias; Dimension Weights; Similarity-Based Scoring; Satisfaction Baseline,normalized-scores; feature-scaling; psychometrics; measurement; compatibility-metrics; global-calibration
65,Onionlayer Model,Framework & Model,"A layered way of describing sexuality where outward behaviors sit on top of deeper layers like meaning, emotions, attachment needs, and nervous-system states.","The Onionlayer Model is useful for moving beyond “technique” and asking what a sexual preference is doing emotionally (connection, validation, play, power, safety). Different cultures emphasize different layers (duty, romance, spirituality, pleasure), so the model helps compare without judging. It can also guide conversations: start with safety and meaning before negotiating behaviors.",A partner asks for more sex but the deeper layer is wanting reassurance and closeness; A person thinks they want novelty but realizes they mainly want playfulness and permission; Conflict decreases arousal because the safety layer isn’t met.,Relationship Dynamics & Intimacy,General,"The model says deeper motives are always “the real reason”; If you understand the layers, sex problems disappear; Only therapists can use layered models; Layers are the same for everyone.",Emotional Intimacy; Attachment Style; Desire; Arousal Brake; Relationship Form Preference,onionlayer-model; layered-sexuality; intimacy-needs; meaning-and-arousal; relationship-communication; attachment
66,Opt-In Consent,Expectation & Norm,A consent approach where users actively choose to participate (or share data) rather than being included by default.,"Opt-in consent supports autonomy and trust, especially for sensitive topics. In product and research contexts, it works best when it’s informed (plain language), specific (clear purpose), reversible (easy withdrawal), and paired with minimal data collection and transparent governance.",A checkbox to share anonymized data for research; Separate consent for personalized insights vs research use; A clear “withdraw consent” option in settings.,Consent & Boundaries,General,"Opt-in means consent is permanent; If users opt in, any use is acceptable; Opt-in guarantees understanding; Opt-in is only a legal requirement, not an ethical practice.",Consent Frameworks; Ethical Constraints; Tiered Access Approach; Non-Harm Principles,opt-in-consent; informed-consent; user-control; privacy-choice; transparent-data-use; global-trust
67,Optimal Sexual States,State & Experience,"Personal conditions of safety, presence, and responsive arousal where intimacy feels most connected, consensual, and pleasurable.","Optimal sexual states are not a single ""peak"" experience; they vary by person and relationship. Common ingredients include emotional safety, adequate time, privacy, and attuned pacing. Tracking what supports these states helps couples design contexts that feel good across life stages and cultures, without treating any one style of sex as the standard.","Feeling relaxed, unhurried, and emotionally connected; Enjoying touch most when there is privacy and playful communication; Noticing arousal is easier after repair and reassurance.",Desire & Arousal,Sensitive,"There is one universal optimal state; If you don't reach it, something is wrong; Optimal states should happen every time; Chasing optimal states matters more than consent or comfort.",Arousal Window; Flow States; State Optimization; Emotional Safety; Aftercare,optimal-sexual-states; sexual-wellbeing; arousal-window; connection; presence
68,Pattern Libraries (by Modality),Product Artifact,"A structured collection of relationship and sexuality patterns, exercises, and prompts organized by modalities such as sensory, emotional, communication, fantasy, and novelty.","Pattern libraries turn abstract concepts into practical options users can try. Organizing by modality supports personalization: people can explore what works for their arousal style, values, and comfort level. For global use, libraries should include culturally flexible language and multiple paths (e.g., verbal vs nonverbal communication) without stereotyping.","A ""sensory"" library of touch and pacing experiments; A ""communication"" library of consent check-ins and repair scripts; A ""fantasy"" library of safe sharing prompts and boundaries.",Product & Assessment,Sensitive,"Pattern libraries are stereotypes about people; If a pattern is suggested, you should do it; Libraries replace consent and negotiation; The same patterns work in every culture and relationship.",Core Modalities; Reflective Prompts; Consent Frameworks; Arousal Style; Ethical Constraints,pattern-library; modalities; intimacy-exercises; consent-prompts; personalized-growth
