ID,Term,Type,Definition,Extended Notes,Examples,Domain,Sensitivity Level,Misinterpretations,Related Terms,Tags
38,Exploration Pace,Trait & Disposition,"Exploration Pace refers to the speed and rhythm at which a person feels comfortable engaging in new emotional, relational, or intimate experiences.","Exploration Pace describes timing preferences rather than willingness to explore. It is closely related to Erotic Curiosity and Boundary Setting, as comfort with novelty depends on perceived safety and control. Within a relationship assessment platform, exploration pace is inferred from patterns of readiness, hesitation, and responsiveness to new experiences. The concept helps explain compatibility dynamics by distinguishing differences in timing from lack of interest or openness.",One partner prefers gradual exploration while the other moves quickly toward novelty; A relationship report highlights tension caused by mismatched exploration timing; Engagement increases when new experiences unfold at a comfortable pace,"Fantasy, Kink & Exploration",Sensitive,Exploration pace means resistance to growth; Faster exploration pace indicates greater desire; Exploration pace should be identical between partners,Erotic Curiosity; Boundary Setting; Mismatch Tolerance; Communication Patterns,exploration-pace; erotic-curiosity; boundaries; relationship-dynamics; compatibility-dynamics; relationship-insights; self-awareness
39,Fantasy,State & Experience,"Mental imagery or thoughts involving sexual or intimate scenarios, which may or may not reflect real-world desires or intentions.","Fantasies are internal experiences that do not necessarily reflect real-world desires or intentions. They can serve many psychological roles, including exploration, stress relief, or curiosity, without needing to be acted upon.",Imagining scenarios without wanting them to happen; having recurring fantasies that remain purely mental; noticing fantasies change over time.,"Fantasy, Kink & Exploration",Sensitive,Fantasies always represent hidden desires; having certain fantasies means wanting to act on them; fantasies define moral character.,Desire; Arousal; Sexual Script,imagination; sexuality; cognition
40,Fantasy Boundaries,Practice & Skill,"Fantasy Boundaries refer to the personal or relational limits that define how sexual or intimate fantasies are held, shared, or separated from real-world behavior.","Fantasy Boundaries describe how individuals distinguish imagination from expectation or action. They are closely related to Fantasy Disclosure and Emotional Safety, as boundaries help maintain trust and comfort around sensitive topics. Within a relationship assessment platform, fantasy boundaries are inferred from patterns of openness, hesitation, and clarity about limits. The concept helps explain compatibility dynamics by separating respect for limits from curiosity or desire.",A partner is comfortable discussing fantasies while clearly separating them from action; A relationship report highlights aligned boundaries around fantasy sharing; Clear limits reduce anxiety during conversations about imagination,Consent & Boundaries,Sensitive,Fantasy boundaries mean repression or lack of openness; Fantasy boundaries prevent intimacy or connection; Fantasy boundaries indicate low sexual desire,Fantasy Comfort; Fantasy Disclosure; Emotional Safety; Erotic Curiosity,fantasy-boundaries; emotional-safety; erotic-curiosity; sexual-desire; relationship-dynamics; compatibility-dynamics; self-awareness
41,Fantasy Comfort,State & Experience,"Fantasy Comfort refers to the level of ease a person feels engaging with, thinking about, or acknowledging sexual or intimate fantasies.","Fantasy Comfort describes emotional and psychological safety around imagination rather than the content of fantasies themselves. It is closely related to Emotional Safety and Erotic Curiosity, as comfort increases when curiosity is not met with judgment or pressure. Within a relationship assessment platform, fantasy comfort is inferred from patterns of openness, hesitation, or avoidance around imagined scenarios. The concept helps explain compatibility dynamics by separating comfort with fantasy from desire, behavior, or intent.",A partner feels relaxed acknowledging fantasies without needing to act on them; A relationship report highlights differing comfort levels around imaginative intimacy; Openness to fantasy increases during periods of emotional safety,"Fantasy, Kink & Exploration",Sensitive,Fantasy comfort means desire to act on all fantasies; Fantasy comfort reflects dissatisfaction with a partner; Fantasy comfort indicates sexual experience level,Erotic Curiosity; Emotional Safety; Sexual Desire; Desire Trigger,fantasy-comfort; erotic-curiosity; emotional-safety; sexual-desire; relationship-dynamics; compatibility-dynamics; self-awareness
42,Fantasy Disclosure,Practice & Skill,Fantasy Disclosure refers to the act or comfort level of sharing sexual or intimate fantasies within a relational context.,"Fantasy Disclosure describes how imagined desires are communicated rather than whether they are acted upon. It is closely linked to Fantasy Comfort and Emotional Safety, as disclosure depends on trust, nonjudgment, and perceived acceptance. Within a relationship assessment platform, fantasy disclosure is inferred from patterns of openness, hesitation, or indirect signaling around fantasy topics. The concept helps explain compatibility dynamics by separating communication readiness from desire intensity or behavior.",A partner feels able to name fantasies without expectation of action; A relationship report highlights asymmetry in fantasy disclosure comfort; Disclosure increases during periods of emotional closeness and trust,"Fantasy, Kink & Exploration",Sensitive,Fantasy disclosure means wanting to act on fantasies; Fantasy disclosure indicates dissatisfaction with the relationship; Fantasy disclosure requires full transparency at all times,Fantasy Comfort; Erotic Curiosity; Emotional Safety; Sexual Desire,fantasy-disclosure; erotic-curiosity; emotional-safety; sexual-desire; relationship-dynamics; compatibility-dynamics; self-awareness
43,Fatigue And Libido,Pattern & Dynamic,Fatigue and Libido refers to the relationship between physical or mental exhaustion and changes in sexual desire or interest.,"Fatigue and Libido describes how low energy levels influence desire, arousal, and responsiveness rather than attraction or emotional connection. It is closely related to Desire Fluctuation and Arousal Brake, as fatigue often limits the conditions in which desire feels accessible. Within a relationship assessment platform, this pattern is identified through recurring links between tiredness and reduced desire or initiation. The concept helps explain compatibility dynamics by separating energy-related changes from relationship satisfaction or sexual needs.",Desire decreases during periods of prolonged physical exhaustion; Intimacy feels less accessible after mentally demanding days; A relationship report links chronic fatigue to lower libido expression,Pleasure & Sexual Wellbeing,Sensitive,Fatigue and libido means loss of attraction; Fatigue permanently lowers sexual desire; Fatigue-related libido changes indicate relationship problems,Desire Fluctuation; Arousal Brake; Sexual Desire; Stress and Desire,fatigue-and-libido; sexual-desire; arousal-patterns; energy-levels; relationship-dynamics; compatibility-dynamics; self-awareness
44,Feedback Comfort,State & Experience,"Feedback Comfort refers to the level of ease a person experiences when giving, receiving, or processing feedback within a relationship.","Feedback Comfort describes how emotionally safe feedback feels rather than how often it occurs. It is closely related to Emotional Safety and Communication Patterns in Relationships, as tone, timing, and trust shape whether feedback is experienced as supportive or threatening. Within a relationship assessment platform, feedback comfort is inferred from reactions to input, repair attempts, and emotional regulation during discussion. The concept helps explain compatibility dynamics by separating openness to feedback from agreement or compliance.",A partner receives constructive feedback without becoming defensive; Feedback is shared calmly during emotionally neutral moments; A relationship report highlights differing comfort levels with direct feedback,Emotional & Attachment Patterns,General,Feedback comfort means agreeing with all feedback; Low feedback comfort indicates emotional immaturity; Feedback comfort removes emotional reactions entirely,Emotional Safety; Communication Patterns; Validation Need; Relational Attunement,feedback-comfort; emotional-safety; communication-patterns; relationship-insights; self-awareness; emotional-regulation
45,Flirtation Style,Trait & Disposition,"Flirtation Style refers to the characteristic ways a person signals interest, attraction, or playfulness within romantic or intimate interactions.","Flirtation Style describes how attraction is expressed through tone, timing, humor, attention, or physical cues rather than through explicit intent. It overlaps with Play Style and Communication Patterns in Relationships, shaping how signals are sent and interpreted between partners. Within a relationship assessment platform, flirtation style is inferred from patterns of engagement, responsiveness, and comfort with ambiguity. The concept helps explain compatibility dynamics by distinguishing expression preferences from desire or commitment levels.",One partner uses humor and teasing to signal interest; A relationship report highlights mismatched comfort with direct versus subtle flirting; Signals of attraction appear through sustained attention rather than verbal cues,Sexual Communication & Initiation,General,Flirtation style reflects seriousness about commitment; Flirtation style indicates sexual intent at all times; Flirtation style should be the same across all relationships,Play Style; Communication Patterns; Emotional Intimacy; Affection Gap,flirtation-style; attraction-signals; communication-patterns; sexual-expression; relationship-dynamics; compatibility-dynamics; self-awareness
46,Foreplay Expectations,Expectation & Norm,"Foreplay Expectations refer to the assumptions or preferences individuals hold about the role, timing, and importance of preparatory intimacy within sexual or intimate interactions.","Foreplay Expectations describe how people differ in what helps them feel mentally and physically ready for intimacy. They are shaped by Emotional Intimacy and Communication Patterns in Relationships, as expectations often emerge from unspoken norms rather than explicit discussion. Within a relationship assessment platform, foreplay expectations are inferred from patterns of comfort, satisfaction, and emotional response. The concept helps explain compatibility dynamics by separating readiness and connection from desire intensity.",One partner expects extended emotional buildup before physical intimacy; A relationship report highlights mismatched assumptions about timing and pacing; Intimacy feels disconnected when expectations around preparation differ,Sexual Communication & Initiation,Sensitive,Foreplay expectations indicate level of sexual desire; Foreplay expectations are the same for everyone; Foreplay expectations are purely physical preferences,Emotional Intimacy; Sexual Readiness; Communication Patterns; Touch Preferences,foreplay-expectations; sexual-intimacy; emotional-intimacy; communication-patterns; compatibility-dynamics; relationship-insights; self-awareness
47,Growth Report,Product Artifact,"A personalized report that summarizes key patterns, strengths, and growth areas identified through your survey responses.","The Growth Report highlights recurring themes, changes, and patterns over time rather than isolated data points. It is intended to support self-awareness and ongoing development, not evaluation or judgment.",Seeing themes in communication style across relationships; identifying recurring dynamics around desire or boundaries; noticing areas where growth is possible.,Product & Assessment,General,The report defines permanent traits; growth areas indicate failure; the report predicts future relationship outcomes.,Deep Survey; Sexual Intelligence; Match IQ; Compatibility Engine,report; insight; development
48,Initiation Anxiety,State & Experience,"Initiation Anxiety refers to discomfort, hesitation, or emotional stress associated with starting intimacy, affection, or sexual connection in a relationship.","Initiation Anxiety describes how emotional risk, uncertainty, or fear of rejection influences whether and how intimacy is initiated. It often overlaps with Rejection Sensitivity and Communication Patterns in Relationships, where unclear signals heighten hesitation. Within a relationship assessment platform, initiation anxiety is inferred from avoidance patterns, delayed initiation, or reliance on indirect cues. The concept helps explain compatibility dynamics by distinguishing desire from comfort with initiating connection.",A partner waits for clear signals before initiating intimacy; Initiation decreases after experiences of perceived rejection; A relationship report highlights anxiety-driven imbalance in initiation roles,Sexual Communication & Initiation,Sensitive,Initiation anxiety means lack of desire; Initiation anxiety indicates insecurity or weakness; Initiation anxiety reflects disinterest in a partner,Initiation Pattern; Rejection Sensitivity; Emotional Intimacy; Communication Patterns,initiation-anxiety; sexual-dynamics; emotional-patterns; rejection-sensitivity; communication-patterns; relationship-insights; self-awareness
49,Initiation Comfort,State & Experience,"Initiation Comfort refers to the level of ease and confidence a person experiences when starting intimacy, affection, or sexual connection within a relationship.","Initiation Comfort reflects how emotionally safe and regulated initiation feels rather than how often it occurs. It is closely connected to Emotional Intimacy and Initiation Pattern, as repeated responses shape whether initiating feels welcomed or risky. Within a relationship assessment platform, initiation comfort is inferred from consistency, timing, and emotional tone surrounding initiation attempts. The concept helps explain compatibility dynamics by separating desire from comfort with taking the first step.",A partner initiates affection without hesitation or overthinking; Initiation feels easier during periods of emotional closeness; A relationship report highlights high comfort but low frequency of initiation,Sexual Communication & Initiation,Sensitive,Initiation comfort means high sexual desire; Initiation comfort guarantees balanced initiation roles; Low initiation comfort indicates lack of attraction,Initiation Pattern; Emotional Intimacy; Initiation Anxiety; Communication Patterns,initiation-comfort; sexual-dynamics; emotional-intimacy; communication-patterns; compatibility-dynamics; relationship-insights; self-awareness
50,Initiation Pattern,Pattern & Dynamic,"Initiation Pattern refers to the recurring ways intimacy, affection, or sexual connection is typically initiated within a relationship.","Initiation Pattern describes how timing, signals, and roles around starting intimacy tend to repeat over time. It is closely linked to Communication Patterns in Relationships and Emotional Intimacy, as initiation often reflects comfort with vulnerability and responsiveness. Within a relationship assessment platform, initiation patterns are identified by observing who initiates, how often, and under what emotional conditions. The concept helps explain compatibility dynamics by separating desire from expression and expectation.",One partner usually initiates physical closeness while the other responds; A relationship report highlights imbalance in initiation frequency; Initiation occurs mainly during periods of emotional closeness rather than routine moments,Sexual Communication & Initiation,Sensitive,Initiation pattern reflects overall level of desire; Initiation pattern indicates relationship power dynamics; Initiation pattern should always be evenly balanced,Emotional Intimacy; Communication Patterns; Sexual Desire; Foreplay Expectations,initiation-pattern; sexual-dynamics; emotional-intimacy; communication-patterns; compatibility-dynamics; relationship-insights; self-awareness
51,Interest Mismatch,Pattern & Dynamic,"Interest Mismatch refers to differences between partners in levels of curiosity, engagement, or enthusiasm toward specific relational, emotional, or intimate topics.","Interest Mismatch describes variation in what captures attention or motivation rather than lack of care or connection. It is closely related to Mismatch Tolerance and Communication Patterns in Relationships, as differences become more or less impactful depending on how they are acknowledged and navigated. Within a relationship assessment platform, interest mismatch is inferred from recurring gaps in engagement, curiosity, or responsiveness across topics. The concept helps explain compatibility dynamics by separating difference in interest from rejection or incompatibility.",One partner shows curiosity about emotional discussions while the other prefers practical topics; A relationship report highlights differing levels of interest in exploring intimacy themes; Engagement drops when conversations focus on misaligned interests,Emotional & Attachment Patterns,General,Interest mismatch means partners are incompatible; Interest mismatch reflects lack of emotional investment; Interest mismatch should not exist in healthy relationships,Mismatch Tolerance; Communication Patterns; Emotional Intimacy; Compatibility Dynamics,interest-mismatch; compatibility-dynamics; communication-patterns; relationship-insights; emotional-awareness; self-awareness
52,Intimacy Frequency Expectations,Expectation & Norm,"Intimacy Frequency Expectations refer to beliefs or assumptions about how often emotional, physical, or relational closeness should occur within a relationship.","Intimacy Frequency Expectations describe perceived norms rather than actual levels of connection or satisfaction. They are closely related to Emotional Intimacy and Routine Comfort, as expectations are shaped by habit, comparison, and relational rhythm. Within a relationship assessment platform, these expectations are inferred from patterns of fulfillment, pressure, or mismatch over time. The concept helps explain compatibility dynamics by separating desired frequency from emotional availability or capacity.",One partner expects frequent emotional check-ins while the other prefers periodic connection; A relationship report highlights tension around differing intimacy rhythms; Feelings of closeness change when expectations shift during busy periods,Relationship Dynamics & Intimacy,General,Intimacy frequency expectations reflect actual emotional closeness; Intimacy frequency expectations determine relationship quality; Intimacy frequency expectations should naturally align,Emotional Intimacy; Routine Comfort; Relationship Stability; Communication Patterns,intimacy-frequency; emotional-intimacy; relationship-rhythms; compatibility-dynamics; relationship-insights; self-awareness
53,Kink,Framework & Model,Sexual interests or practices that fall outside socially conventional expectations and are engaged in consensually.,"Kink encompasses a wide range of consensual practices and interests that fall outside cultural norms. Participation in kink emphasizes communication, consent, and trust rather than risk or pathology.",Interest in role-play or power exchange; curiosity without participation; consensual exploration within negotiated boundaries.,"Fantasy, Kink & Exploration",Highly Sensitive,Kink is inherently unsafe; kink reflects trauma or dysfunction; interest in kink requires acting on it.,Consent; Fantasy; Safe Word; Boundaries,sexuality; consent; exploration
54,Kink Curiosity,Trait & Disposition,"Kink Curiosity refers to interest in learning about, thinking about, or exploring non-mainstream sexual interests without implying desire to act on them.","Kink Curiosity describes curiosity about variation and boundaries rather than commitment to specific practices. It is closely related to Erotic Curiosity and Fantasy Comfort, as safety and nonjudgment shape how curiosity is experienced. Within a relationship assessment platform, kink curiosity is inferred from patterns of interest, questions, or reflection rather than behavior. The concept helps explain compatibility dynamics by separating curiosity, imagination, and values from action or identity.",A partner feels curious about unfamiliar sexual themes without wanting to try them; A relationship report highlights different comfort levels with kink-related topics; Curiosity emerges during conversations framed as exploratory rather than expectational,"Fantasy, Kink & Exploration",Sensitive,Kink curiosity means wanting to engage in kink; Kink curiosity defines sexual identity; Kink curiosity reflects dissatisfaction with a relationship,Erotic Curiosity; Fantasy Comfort; Fantasy Boundaries; Taboo Curiosity,kink-curiosity; erotic-curiosity; fantasy-comfort; emotional-safety; sexual-desire; relationship-dynamics; self-awareness
55,Kink Disclosure,Practice & Skill,Kink Disclosure refers to the act or comfort level of sharing interest or curiosity about kink-related themes within a relational or intimate context.,"Kink Disclosure describes communication about interests rather than intention to act on them. It is closely connected to Kink Curiosity and Emotional Safety, as disclosure depends on trust, consent, and perceived nonjudgment. Within a relationship assessment platform, kink disclosure is inferred from patterns of openness, indirect signaling, or avoidance around kink-related topics. The concept helps explain compatibility dynamics by separating communication readiness from behavior, identity, or desire intensity.",A partner names a curiosity without expectation of participation; A relationship report highlights differing comfort levels with kink-related disclosure; Disclosure occurs through indirect language before explicit conversation,"Fantasy, Kink & Exploration",Sensitive,Kink disclosure means wanting to act on kink interests; Kink disclosure defines sexual identity; Kink disclosure indicates dissatisfaction with a partner,Kink Curiosity; Fantasy Disclosure; Emotional Safety; Erotic Curiosity,kink-disclosure; erotic-curiosity; emotional-safety; sexual-desire; relationship-dynamics; compatibility-dynamics; self-awareness
56,Kissing Preferences,Need & Preference,"Kissing Preferences refer to the ways individuals differ in how they experience, interpret, and enjoy kissing within romantic or intimate relationships.","Kissing Preferences describe variation in style, frequency, intensity, and emotional meaning rather than level of attraction. They are closely linked to Physical Touch Comfort and Emotional Intimacy, as kissing can function as both physical expression and emotional signal. Within a relationship assessment platform, these preferences are inferred from comfort patterns and emotional responses across intimate moments. The concept helps clarify compatibility dynamics by separating personal expression from desire or relational commitment.","One partner prefers slow, affectionate kissing while the other favors brief, playful contact; A relationship report highlights mismatched expectations around kissing frequency; Kissing feels emotionally bonding in some contexts but overstimulating in others",Sexual Communication & Initiation,General,Kissing preferences indicate overall sexual compatibility; Kissing preferences reflect emotional commitment; Kissing preferences should naturally align between partners,Physical Touch Comfort; Touch Preferences; Emotional Intimacy; Affection Preferences,kissing-preferences; physical-affection; emotional-intimacy; touch-preferences; relationship-insights; compatibility-dynamics; self-awareness
57,Libido,State & Experience,A person’s general level of sexual interest over time.,"Libido refers to overall sexual drive and can be affected by health, stress, hormones, relationships, and life circumstances. Changes in libido are common and do not necessarily indicate relational problems.",Noticing shifts in sexual interest during stressful periods; having a consistently high or low baseline interest; libido changing with health or life stage.,Desire & Arousal,Sensitive,Libido should remain constant; low libido means lack of attraction; libido and desire are the same thing.,Desire; Arousal; Desire Discrepancy,sexual-interest; baseline; variability
58,Match IQ,Product Artifact,A summary indicator that reflects how well two people’s patterns align across key relational and sexual dimensions.,"Match IQ reflects multidimensional alignment rather than surface-level similarity. It is meant to guide understanding of compatibility strengths and tensions, not to rank or score people.",High alignment in communication but differences in desire patterns; moderate overall alignment with strong emotional compatibility.,Product & Assessment,General,Higher Match IQ guarantees relationship success; lower Match IQ means incompatibility; Match IQ measures attraction or chemistry alone.,Compatibility Engine; Sexual Intelligence; Intimacy; Communication,matching; alignment; assessment
59,Micro Quiz,Product Artifact,A short set of focused questions designed to explore a specific topic or dimension.,Micro Quizzes are designed for quick engagement while still providing meaningful insight. They trade depth for accessibility and are often used as entry points rather than comprehensive assessments.,A brief quiz on communication preferences; a short check-in on current emotional state; targeted questions about boundaries or desire.,Product & Assessment,General,Micro Quizzes provide complete assessments; answers should reflect ideal behavior; results are directly comparable to deep survey results.,Deep Survey; Growth Report; Sexual Intelligence,quick-assessment; focus; context
60,Mismatch Tolerance,Trait & Disposition,"Mismatch Tolerance refers to the capacity to remain emotionally regulated and connected when differences in needs, preferences, or rhythms exist within a relationship.","Mismatch Tolerance describes how individuals experience and manage relational differences rather than whether mismatches occur. It is closely connected to Emotional Safety and Communication Patterns in Relationships, as tolerance is shaped by trust, flexibility, and repair. Within a relationship assessment platform, mismatch tolerance is inferred from reactions to unmet expectations, negotiation, and ongoing responsiveness. The concept helps explain compatibility dynamics by separating difference itself from distress or disconnection.",Partners stay emotionally connected despite differing intimacy needs; A relationship report highlights calm responses to recurring preference gaps; Disagreements do not escalate into withdrawal or blame,Emotional & Attachment Patterns,General,Mismatch tolerance means suppressing personal needs; High mismatch tolerance indicates lack of standards; Mismatch tolerance guarantees long-term compatibility,Emotional Safety; Compatibility Dynamics; Communication Patterns; Emotional Regulation,mismatch-tolerance; compatibility-dynamics; emotional-safety; relationship-insights; communication-patterns; self-awareness
61,Novelty Seeking,Trait & Disposition,"Novelty Seeking refers to the tendency to desire new experiences, stimulation, or variation within a relationship dynamic.","Novelty Seeking describes how much change, spontaneity, or exploration contributes to a person’s sense of engagement in a relationship. It often interacts with Routine Comfort and Emotional Intimacy, shaping how stability and excitement are balanced over time. Within a relationship assessment platform, novelty seeking is inferred from preferences around variety, shared activities, and responses to predictability. The concept helps clarify compatibility dynamics by distinguishing a need for stimulation from dissatisfaction or avoidance.",One partner feels energized by trying new activities together; A relationship report highlights differing preferences for routine versus spontaneity; Communication patterns show excitement increasing during periods of change,"Fantasy, Kink & Exploration",General,Novelty seeking means fear of commitment; Novelty seeking indicates boredom with a partner; Novelty seeking undermines emotional intimacy,Routine Comfort; Emotional Intimacy; Compatibility Dynamics; Attachment Style,Routine Comfort; Emotional Intimacy; Compatibility Dynamics; Attachment Style
62,Orientation,Identity & Orientation,A pattern of sexual or romantic attraction toward others.,"Orientation describes patterns of attraction that may be sexual, romantic, or both. It exists on a spectrum and may be experienced as stable, fluid, or context-dependent.","Identifying as heterosexual, bisexual, homosexual, pansexual, or asexual; experiencing romantic attraction without sexual attraction",Identity & Attraction,Sensitive,Orientation is defined by behavior alone; orientation cannot change; uncertainty means confusion or indecision.,Asexuality; Desire; Intimacy,attraction; identity; sexuality
63,Performance Anxiety,State & Experience,Performance Anxiety refers to stress or worry related to meeting perceived expectations during intimate or sexual interactions.,"Performance Anxiety describes how self-monitoring, pressure, or fear of evaluation interferes with presence and responsiveness. It is closely connected to Pleasure Pressure and Arousal Brake, as anxiety can interrupt arousal even when desire is present. Within a relationship assessment platform, performance anxiety is inferred from patterns where concern about outcomes coincides with reduced comfort or enjoyment. The concept helps explain compatibility dynamics by separating anxiety-driven inhibition from lack of attraction or interest.",Arousal decreases when attention shifts to performance outcomes; Intimacy feels tense when expectations feel unspoken but present; A relationship report highlights anxiety-related drops in engagement,Pleasure & Sexual Wellbeing,Sensitive,Performance anxiety means lack of sexual desire; Performance anxiety indicates incompatibility; Performance anxiety reflects personal inadequacy,Pleasure Pressure; Arousal Brake; Desire Inhibition; Emotional Safety,performance-anxiety; sexual-desire; emotional-safety; arousal-patterns; relationship-dynamics; compatibility-dynamics; self-awareness
64,Physical Touch Comfort,State & Experience,Physical Touch Comfort refers to the level of ease or unease a person experiences with physical contact in relational or intimate contexts.,"Physical Touch Comfort describes how physical closeness is emotionally processed rather than how much touch is desired. It is shaped by Attachment Style and Emotional Safety, as past experiences influence how touch is interpreted in different situations. Within a relationship assessment platform, this pattern is inferred from comfort across contexts such as stress, affection, or public settings. The concept helps explain compatibility dynamics by distinguishing boundaries and regulation from attraction or emotional closeness.","Physical Touch Comfort describes how physical closeness is emotionally processed rather than how much touch is desired. It is shaped by Attachment Style and Emotional Safety, as past experiences influence how touch is interpreted in different situations. Within a relationship assessment platform, this pattern is inferred from comfort across contexts such as stress, affection, or public settings. The concept helps explain compatibility dynamics by distinguishing boundaries and regulation from attraction or emotional closeness.",Sexual Communication & Initiation,General,Physical touch comfort reflects level of attraction; Physical touch comfort indicates emotional availability; Low physical touch comfort means rejection of intimacy,Touch Preferences; Emotional Safety; Attachment Style; Boundary Setting,physical-touch-comfort; touch-preferences; emotional-safety; boundaries; relationship-insights; compatibility-dynamics; self-awareness
65,Play Style,Trait & Disposition,"Play Style refers to the characteristic ways a person engages in playfulness, humor, creativity, or lighthearted interaction within a relationship.","Play Style describes how playfulness is expressed and received in relational interactions, shaping connection, bonding, and emotional tone. It often intersects with Novelty Seeking and Routine Comfort, influencing whether play shows up as spontaneity, humor, rituals, or shared activities. Within a relationship assessment platform, play style is inferred from communication patterns in relationships, including teasing, curiosity, and shared enjoyment. The concept helps clarify compatibility dynamics by distinguishing playful expression from seriousness or emotional depth.",Partners bond through inside jokes and shared humor; A relationship report highlights mismatched preferences for spontaneous versus structured play; Light teasing appears during moments of emotional closeness,Relationship Dynamics & Intimacy,General,Play style means not taking the relationship seriously; Play style replaces emotional intimacy; Play style should look the same for everyone,Novelty Seeking; Routine Comfort; Communication Patterns; Emotional Intimacy,play-style; relationship-dynamics; communication-patterns; novelty-seeking; emotional-intimacy; compatibility-dynamics; self-awareness
66,Pleasure Needs,Need & Preference,"Pleasure Needs refer to the conditions, experiences, and forms of engagement that support a person’s ability to experience enjoyment and satisfaction in intimate or sexual contexts.","Pleasure Needs describe what allows pleasure to emerge rather than how pleasure should look or how often it occurs. They are closely related to Sexual Needs and Emotional Safety, as comfort, agency, and emotional presence shape pleasurable experience. Within a relationship assessment platform, pleasure needs are inferred from patterns where enjoyment increases or decreases across different contexts. The concept helps explain compatibility dynamics by separating pleasure capacity from performance, desire level, or expectation.",Pleasure increases when interactions feel unpressured and emotionally connected; A relationship report highlights differing conditions that support enjoyment; Enjoyment decreases when focus shifts to outcomes rather than experience,Pleasure & Sexual Wellbeing,Sensitive,Pleasure needs mean constant enjoyment; Pleasure needs indicate entitlement to pleasure from others; Pleasure needs define sexual compatibility,Sexual Needs; Emotional Safety; Pleasure Pressure; Sexual Desire,pleasure-needs; sexual-desire; emotional-safety; relationship-dynamics; compatibility-dynamics; relationship-insights; self-awareness
67,Pleasure Pressure,State & Experience,"Pleasure Pressure refers to the emotional or psychological strain that arises when feeling expected to experience, express, or prioritize pleasure during intimate interactions.","Pleasure Pressure describes how expectations around enjoyment can interfere with natural desire or presence. It is closely related to Desire Inhibition and Emotional Safety, as pressure often reduces relaxation and responsiveness. Within a relationship assessment platform, pleasure pressure is inferred from patterns where obligation or performance concerns coincide with reduced satisfaction. The concept helps explain compatibility dynamics by separating genuine pleasure from expectation-driven behavior.",Enjoyment decreases when one partner feels responsible for maintaining excitement; Intimacy feels tense when pleasure is treated as a requirement; A relationship report highlights pressure-related drops in satisfaction,Pleasure & Sexual Wellbeing,Sensitive,Pleasure pressure means lack of attraction; Pleasure pressure reflects sexual incompatibility; Pleasure pressure indicates personal failure,Desire Inhibition; Arousal Brake; Emotional Safety; Sexual Desire,pleasure-pressure; sexual-desire; emotional-safety; arousal-patterns; relationship-dynamics; compatibility-dynamics; self-awareness
68,Pleasure Priorities,Trait & Disposition,"Pleasure Priorities refer to the aspects of pleasure a person values most within intimate or sexual experiences, such as emotional connection, physical sensation, or relaxation.","Pleasure Priorities describe how individuals differ in what makes intimacy feel most fulfilling. They are closely connected to Pleasure Needs and Sexual Needs, as priorities shape which conditions matter most for enjoyment. Within a relationship assessment platform, pleasure priorities are inferred from patterns of satisfaction, engagement, and preference across experiences. The concept helps explain compatibility dynamics by distinguishing value alignment from frequency or intensity of desire.",One partner prioritizes emotional closeness over physical intensity; A relationship report highlights differing pleasure priorities between partners; Enjoyment increases when shared experiences align with core pleasure values,Pleasure & Sexual Wellbeing,Sensitive,Pleasure priorities mean being selfish in intimacy; Pleasure priorities must match exactly for compatibility; Pleasure priorities indicate overall sexual desire level,Pleasure Needs; Sexual Needs; Emotional Intimacy; Pleasure Pressure,pleasure-priorities; sexual-desire; emotional-intimacy; relationship-dynamics; compatibility-dynamics; relationship-insights; self-awareness
69,Pleasure Self-Efficacy,Trait & Disposition,"Pleasure Self-Efficacy refers to a person’s confidence in recognizing, communicating, and supporting their own capacity for pleasure within intimate experiences.","Pleasure Self-Efficacy describes perceived agency around pleasure rather than outcomes or performance. It is closely related to Pleasure Needs and Emotional Safety, as confidence grows when comfort, consent, and self-awareness are present. Within a relationship assessment platform, pleasure self-efficacy is inferred from patterns of clarity, responsiveness, and reduced pressure around enjoyment. The concept helps explain compatibility dynamics by separating confidence in pleasure from frequency, intensity, or external validation.",A partner names what supports enjoyment without hesitation; Pleasure feels accessible without pressure to perform; A relationship report highlights strong confidence around pleasure awareness,Pleasure & Sexual Wellbeing,Sensitive,Pleasure self-efficacy means constant pleasure; Pleasure self-efficacy reflects sexual skill level; Low pleasure self-efficacy indicates low desire,Pleasure Needs; Emotional Safety; Sexual Self-Efficacy; Pleasure Pressure,pleasure-self-efficacy; pleasure-needs; emotional-safety; sexual-desire; relationship-insights; compatibility-dynamics; self-awareness
70,Privacy Boundary,Need & Preference,"Privacy Boundary refers to the limits a person sets around what personal, relational, or intimate information is kept private versus shared within or outside a relationship.","Privacy Boundary describes how information control supports safety, autonomy, and trust rather than secrecy or withdrawal. It is closely related to Boundary Setting and Emotional Safety, as clarity about privacy reduces anxiety and misinterpretation. Within a relationship assessment platform, privacy boundaries are inferred from patterns around disclosure, comfort with sharing, and reactions to overexposure. The concept helps explain compatibility dynamics by separating healthy privacy from emotional distance or lack of trust.",A partner prefers not to share relationship details with friends or family; Personal thoughts are shared selectively rather than immediately; A relationship report highlights aligned expectations around privacy,Consent & Boundaries,General,Privacy boundary means secrecy or hiding; Privacy boundary indicates lack of trust; Privacy boundary prevents emotional intimacy,Boundary Setting; Emotional Safety; Disclosure Comfort; Autonomy Need,privacy-boundary; boundaries; emotional-safety; consent; relationship-insights; self-awareness
